Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
Lysosome (GO:0005764)	122/503	1.37633518381594e-08	5.07867682828083e-06	0	0	1.87036330984943	33.8559259098254	IFITM3;IFITM1;IFITM2;GBA1;CLU;LAPTM4A;LAMP2;PGAP6;PIP4K2A;ENPP1;AP5S1;VPS39;VPS18;PRKCD;OMD;TSC2;ATP11A;MFSD12;PLA2G15;RRAGD;SPNS1;ATP6V0D1;ARL8A;CFTR;SIDT2;TMEM63A;ABCB6;SDC4;PSEN2;ABCB9;BCL10;ADRB2;PLD3;SNX2;NEU1;SLC38A7;ATP6V0A2;RDH14;ATP6V1D;LYN;CTSA;ACE;STK11IP;FUCA2;GLMP;KLHL22;CP;GRIN2B;GNAO1;DAB2;AKR1B10;TCN2;MAN2B2;GNAQ;OGN;PPT1;PPT2;ADA;TECPR1;ITM2C;PLEKHF1;SLC44A2;HEXB;HEXA;CTSZ;ARRB1;TCIRG1;ATRAID;SLC2A6;SGSH;SLC2A8;MFSD8;GM2A;RB1CC1;ANXA6;FLOT1;GPR137;IDS;MFSD1;ACP2;CTSF;CD34;CTSD;ABCD1;UBXN6;SLC36A1;MANBA;VPS13C;GAA;ATP6AP2;VPS13A;TFEB;PRSS16;BACE1;RNF167;LMBRD1;NPC1;DNAJC5;COL6A1;TMEM9;RAB7B;GRN;SLC66A1;CXCR4;PRELP;LRP2;GNAI1;DRAM1;LRRC8A;DRAM2;SLC31A2;SORT1;TPCN1;CLCN7;GALC;CLCN5;P2RX4;SYT11;LAMTOR2;OCIAD2;FMOD;CYB561
Extracellular Membrane-Bounded Organelle (GO:0065010)	23/57	2.56406795400272e-06	0.000473070537513501	0	0	3.89825065326232	50.1857495708206	CBR1;RAB3A;ARRDC1;IFT172;COL12A1;PRELP;ATP1A1;ATP1B1;NOL3;F5;EFEMP2;TUBB2A;OLFML3;PEG10;COL6A2;OGN;COL6A3;HAS2;CTSF;APOE;EDIL3;SPTAN1;GRIA4
Cell-Cell Junction (GO:0005911)	74/299	4.31945177542795e-06	0.000531292568377638	0	0	1.90694271911663	23.5552850475516	ITGB3;CTNND1;SNAP23;PTPRJ;LDB3;CLDN2;PKD2;CLDN1;VSIG10;TMEM47;CDH4;BAIAP2L1;CDH2;GJA5;FLOT1;FLOT2;KIRREL3;KIRREL1;CXADR;HEG1;GAB1;SHROOM2;CASK;KAZN;SHROOM3;PARD3B;TIAM1;SAPCD2;CDH11;CLDN19;PKP2;EZR;PLPP3;STEAP1;JCAD;NOTCH1;ILDR2;PARD6G;NDRG1;DLL1;RASIP1;CNN3;CYTH3;PDLIM3;FLRT2;CCDC85B;CCDC85A;FLRT1;NPHP1;MICALL2;NPHP4;STXBP6;STX3;CDH26;PDLIM5;PDLIM4;JAM2;PDLIM7;JAM3;PAK4;JAG1;CADM1;JUP;STARD10;KLHL24;IGSF11;DLG1;VANGL2;AJM1;PTK7;DLG4;FAT1;LIMS2;NECTIN2
Extracellular Vesicle (GO:1903561)	23/60	7.18460573973766e-06	0.000662779879490799	0	0	3.5815439040261	42.4182656224752	CBR1;RAB3A;ARRDC1;IFT172;COL12A1;PRELP;ATP1A1;ATP1B1;NOL3;F5;EFEMP2;TUBB2A;OLFML3;PEG10;COL6A2;OGN;COL6A3;HAS2;CTSF;APOE;EDIL3;SPTAN1;GRIA4
Lytic Vacuole Membrane (GO:0098852)	70/287	1.31326240865155e-05	0.000969187657584841	0	0	1.86867788621863	21.0047075337693	IFITM3;IFITM1;IFITM2;PLEKHF1;SLC44A2;GBA1;ARRB1;TCIRG1;CLU;ATRAID;SLC2A6;SLC2A8;MFSD8;LAPTM4A;LAMP2;PGAP6;ANXA6;FLOT1;GPR137;ENPP1;CTSD;ABCD1;VPS39;UBXN6;SLC36A1;VPS18;GAA;ATP6AP2;TFEB;VPS13A;ATP11A;MFSD12;RNF167;LMBRD1;NPC1;DNAJC5;COL6A1;SPNS1;TMEM9;ATP6V0D1;CFTR;ARL8A;SIDT2;GRN;TMEM63A;ABCB6;SLC66A1;PSEN2;ABCB9;LRP2;GNAI1;ATP6V0A2;SLC38A7;RDH14;LRRC8A;ATP6V1D;LYN;SLC31A2;STK11IP;CP;TPCN1;GNAO1;CLCN7;DAB2;CLCN5;P2RX4;GNAQ;LAMTOR2;CYB561;TECPR1
Lytic Vacuole (GO:0000323)	57/223	1.92757070296069e-05	0.00118545598232082	0	0	1.98626547355804	21.5642187640922	PLEKHF1;CTSZ;GBA1;CLU;SGSH;RB1CC1;LAMP2;PIP4K2A;IDS;MFSD1;ACP2;CTSF;CD34;CTSD;AP5S1;VPS18;GAA;VPS13C;ATP6AP2;PRSS16;TSC2;MFSD12;BACE1;PLA2G15;RNF167;NPC1;RRAGD;TMEM9;RAB7B;SIDT2;GRN;CXCR4;ABCB9;BCL10;ADRB2;LRP2;SNX2;DRAM1;NEU1;DRAM2;CTSA;ACE;SORT1;FUCA2;GLMP;KLHL22;GRIN2B;TPCN1;GALC;AKR1B10;MAN2B2;SYT11;PPT1;PPT2;OCIAD2;ADA;ITM2C
Bounding Membrane Of Organelle (GO:0098588)	163/819	3.98893194496735e-05	0.0021027369824185	0	0	1.44821740225234	14.6695761825516	GALNT11;RAB3A;PGAP2;ZDHHC5;ANTXR2;HS6ST1;MANEA;HS6ST2;GALNT10;NDST2;SCAMP5;RAB43;GOLGA2;C1GALT1C1;TMEM38A;TMEM38B;B2M;VPS39;VPS18;COG6;APLP2;PAQR3;WNT5A;ENTPD7;IRAG1;TAP2;CASK;TAP1;RAB36;SLC9A7;ULK1;ATP6V0D1;PLPP3;ABCG4;STEAP2;OPTN;CFTR;NOTCH3;RTN1;NOTCH1;ABCB6;ITPR1;PDGFA;TGFA;ITPR2;ADRB2;IQGAP2;PLD3;CORO1C;UGCG;FUT8;SNX2;MAN2A2;IRAK2;CHST12;ALDH3B1;CHST10;ST8SIA4;ATP6V0A2;ST3GAL5;CHST14;ST3GAL1;GRIA3;ST3GAL2;GRIA4;WNT4;LYN;BBS2;B3GALNT1;BBS1;DMPK;ST8SIA1;WSCD2;ST8SIA2;AZIN2;TMEM231;GNAO1;DLG4;CALR;ITM2B;ITGB1;GPSM1;B4GALT3;PLEKHF1;CTSZ;ARRB1;SLC2A3;TCIRG1;PKD1;RYR3;TCTN3;QSOX1;SNAP29;BBS5;CTSD;BBS4;BOK;SLC36A1;CHPF2;ATP6AP2;VPS13A;VPS37C;VPS37D;ZDHHC13;SLC39A13;WIPI1;RHOF;IL17RD;F3;RHOD;F5;TNFRSF1A;TAPBP;RAB33B;ZDHHC15;RNF144A;BACE1;B3GNT5;B3GNT4;IRF7;CASQ2;RHOU;DIPK2A;B4GALT6;CHST2;B4GALT4;ST6GALNAC6;B4GALT5;CAMK2B;COLEC12;MARCHF2;REP15;RAB1B;EGFR;CYTH3;TMEM67;MGAT5;MVB12B;STX6;MGAT3;NCAM1;SLC36A4;CAMK2G;FKTN;SLC35A2;SLC35A1;RIC1;SORT1;B3GAT3;WNT7B;GBF1;PLEKHA3;SORL1;TPCN1;TTC8;CLCN5;STING1;DOP1B;COL7A1;MGAT4A;RAB18;LAMTOR2;FOLR1
Early Endosome (GO:0005769)	71/307	7.26413831035514e-05	0.00335058379565131	0	0	1.74141003394505	16.5955954523442	IFITM3;DAGLA;PLEKHF1;DYSF;SNX13;RAB22A;ZFYVE28;RUSC1;DNER;KDR;FLOT1;AP3S1;LDLRAP1;ATP7A;B2M;UBXN6;BOK;EPHA4;MAP2K1;SPHK1;TBC1D2B;F3;MR1;BACE1;CLIP3;SLC9A6;ALS2;SLC9A9;RIN3;ATP6V0D1;STEAP2;CFTR;PARM1;MGRN1;CXCR4;ADRB1;ABCB9;SNX33;TRAK1;TMEM163;EGFR;PLD3;AP3M2;NEURL1B;TMEM127;MVB12B;SYNDIG1;STX6;RAB29;APOE;ENTR1;SNX8;PDLIM4;ATP9A;TBC1D16;FZD5;SORT1;CMTM6;PLEKHA3;SNX21;NSG1;SORL1;TMEM230;TPCN1;ENTREP1;ITCH;CLCN5;DOP1B;NAPEPLD;F2RL1;ATP13A3
Lysosomal Membrane (GO:0005765)	77/356	0.000356721580207498	0.0134696013551652	0	0	1.59671290879715	12.6755931943282	IFITM3;IFITM1;IFITM2;PLEKHF1;SLC44A2;GBA1;ARRB1;TCIRG1;CLU;ATRAID;SLC2A6;SLC2A8;MFSD8;LAPTM4A;LAMP2;PGAP6;ANXA6;FLOT1;GPR137;ENPP1;CTSD;ABCD1;SNAP29;VPS39;UBXN6;SLC36A1;VPS18;MANBA;GAA;ATP6AP2;TFEB;VPS13A;ATP11A;MFSD12;RNF167;LMBRD1;NPC1;DNAJC5;COL6A1;SPNS1;TMEM9;ATP6V0D1;CFTR;ARL8A;SIDT2;GRN;TMEM63A;ABCB6;SLC66A1;MGST1;PSEN2;ABCB9;LRP2;GNAI1;ATP6V0A2;SLC38A7;RDH14;LRRC8A;ATP6V1D;CTSA;LYN;ABCA2;SNAPIN;SLC31A2;STK11IP;CMTM6;CP;TPCN1;GNAO1;CLCN7;DAB2;CLCN5;P2RX4;GNAQ;LAMTOR2;CYB561;TECPR1
Collagen-Containing Extracellular Matrix (GO:0062023)	80/373	0.000365029847023447	0.0134696013551652	0	0	1.57997347041857	12.5063296716559	VIT;LGALS3BP;COL18A1;COL12A1;CTSZ;PLAT;CLU;LOXL1;LOXL2;ADAMTS4;EFEMP2;CDH2;DAG1;HMCN2;ANXA6;TIMP3;EMILIN2;EMILIN1;LGALS9;CTSF;FGFBP3;ADAMTS8;CTSD;ADAMTS9;EDIL3;CDON;POSTN;SERPINF1;WNT5A;P3H1;CASK;SERPINB8;ADAM19;LOX;ANGPTL6;COL6A2;COL6A1;COL8A2;COL4A6;VWA1;COL4A5;COL6A3;ANGPTL4;CRELD1;MATN3;SEMA7A;LAMA2;COL11A1;LAMA4;HTRA1;FBLN1;LTBP2;PRELP;THBS2;THBS1;ADAMTS10;THBS3;IGFBP7;NCAM1;APOE;A2M;CTHRC1;TGFB2;ANGPT2;TGFB3;LAMB2;PODN;SMOC2;MFAP4;COL5A1;IL7;SMOC1;COL5A3;COL7A1;OGN;MGP;COL9A3;FMOD;FGFR2;FGFR1
Adherens Junction (GO:0005912)	38/150	0.000528151951123273	0.0177170972694989	0	0	1.95615444541825	14.7613889562569	NOTCH1;CTNND1;SNAP23;LDB3;NDRG1;DLL1;CNN3;CYTH3;CDH4;PDLIM3;BAIAP2L1;CDH2;CCDC85B;CCDC85A;FLOT1;FLOT2;CDH26;STXBP6;PDLIM5;PDLIM4;PDLIM7;PAK4;CXADR;JAG1;JUP;SHROOM2;SHROOM3;KLHL24;PLEKHA7;PARD3B;DLG1;DLG4;CDH11;PKP2;EZR;PLPP3;JCAD;NECTIN2
Focal Adhesion (GO:0005925)	81/387	0.00073476945461436	0.0215723998243111	0	0	1.53110057582355	11.0483509802431	ITGB1;ITGB5;ARPC1B;ITGB3;SNAP23;HSPB1;SLC4A2;RND3;TRIOBP;DCAF6;MRC2;AKAP12;CSRP1;CDH2;CAPN5;ANXA6;DAG1;FLOT1;FLOT2;JAK2;SCARF2;B2M;PDIA3;KLF11;MAP2K1;TLE2;ITGA4;ITGA3;ITGA1;AFAP1;CASK;ENAH;PALLD;CAT;ITGA8;TLN2;ARHGEF2;EZR;PHLDB2;FBLN7;FBLIM1;SYNPO2;ASAP3;CXCR4;NEDD9;CD99L2;EGFR;CORO1B;CORO1C;CNN3;EFNB2;LIMA1;CNN1;IL1RL1;EFS;FLRT2;FLRT1;GNA12;ATP6V0A2;PTK2B;RSU1;PDLIM7;PAK4;FZD1;VASP;SVIL;YES1;JUP;HSPA5;SPRY4;CORO2B;AIF1L;DAB2;PTPRA;PTK7;TRIP6;FAT1;CALR;FGFR3;LIMS2;NECTIN2
Cell-Substrate Junction (GO:0030055)	82/395	0.000883348792642575	0.0215723998243111	0	0	1.51522822998773	10.654767361894	ITGB1;ITGB5;ARPC1B;ITGB3;SNAP23;HSPB1;SLC4A2;RND3;TRIOBP;DCAF6;MRC2;AKAP12;CSRP1;CDH2;CAPN5;ANXA6;DAG1;FLOT1;FLOT2;JAK2;SCARF2;B2M;PDIA3;KLF11;MAP2K1;TLE2;ITGA4;ITGA3;ITGA1;AFAP1;CASK;ENAH;PALLD;CAT;ITGA8;TLN2;ARHGEF2;EZR;PHLDB2;FBLN7;FBLIM1;SYNPO2;ASAP3;CXCR4;NEDD9;CD99L2;EGFR;CORO1B;CORO1C;CNN3;EFNB2;LIMA1;CNN1;IL1RL1;EFS;FLRT2;FLRT1;GNA12;ATP6V0A2;PTK2B;DMD;RSU1;PDLIM7;PAK4;FZD1;VASP;SVIL;YES1;JUP;HSPA5;SPRY4;CORO2B;AIF1L;DAB2;PTPRA;PTK7;TRIP6;FAT1;CALR;FGFR3;LIMS2;NECTIN2
Endosome Membrane (GO:0010008)	76/361	0.000884595339095343	0.0215723998243111	0	0	1.54171270718232	10.8388265854541	IFITM3;ITGB1;IFITM2;DAGLA;PLEKHF1;TCIRG1;ANTXR2;SCAMP5;ZFYVE28;LAPTM4A;ZFYVE27;LAMP2;ANXA6;ATP7A;B2M;CTSD;VPS39;UBXN6;BOK;PDIA3;EPHA4;VPS18;SPHK1;APLP2;ATP6AP2;VPS13A;VPS37C;VPS37D;WIPI1;F3;RHOD;MR1;BACE1;RNF144A;CLIP3;RNF167;SLC9A6;SLC9A7;SLC9A9;IRF7;RHOU;ATP6V0D1;RAB7B;ABCG4;CFTR;OPTN;ABCB6;REP15;ADRB2;TMEM163;NDRG1;EGFR;PLD3;CORO1C;SNX2;IRAK2;MVB12B;ATP6V0A2;SYNDIG1;SNX8;ATP9A;FZD5;SLC31A2;SORT1;FZD7;CMTM6;SNX21;NSG1;SORL1;RAB11B;TPCN1;ENTREP1;CLCN5;DOP1B;LAMTOR2;ATP13A3
Platelet Alpha Granule (GO:0031091)	25/89	0.000941616058431631	0.0215723998243111	0	0	2.24857906345436	15.6679031702933	STXBP3;TEX264;ITGB3;STXBP1;PDGFA;THBS2;CLU;THBS1;ISLR;TMSB4X;PHACTR2;QSOX1;A2M;TGFB2;TGFB3;APLP2;VEGFB;VEGFC;IGF1;LHFPL2;GTPBP2;F5;SCCPDH;MAGED2;GAS6
Peroxisome (GO:0005777)	33/129	0.000991188452025284	0.0215723998243111	0	0	1.9803929908132	13.697597801437	ABCD2;ABCD3;MVK;MGST1;MIEF2;CROT;HMGCR;DDO;PEX26;PMVK;MLYCD;MPV17;ACAD11;DECR2;ACOT8;PHYH;ACBD5;HSDL2;PEX19;PNPLA8;EPHX2;IDH1;ECH1;PIPOX;MARF1;PEX5L;MGAT4A;PXMP2;CAT;PXMP4;MVD;ACOX3;CRAT
Endoplasmic Reticulum Lumen (GO:0005788)	62/284	0.000993850398409998	0.0215723998243111	0	0	1.61290981703353	11.1515356797138	COL18A1;FKBP14;COL12A1;CTSZ;CHRDL1;PRSS23;TXNDC16;ADAMTSL1;ADAMTS5;EVA1A;CDH2;DAG1;QSOX1;B2M;PDIA3;IGFBP5;APLP2;WNT5A;P3H1;F3;F5;SUMF1;BACE1;COL6A2;COL6A1;COL8A2;MXRA8;COL4A6;CASQ2;RDH5;VWA1;COL4A5;COL6A3;GAS6;MATN3;LRPAP1;COL11A1;MTTP;PDGFA;FSTL1;THBS1;CST3;STC2;IGFBP7;APOE;WNT4;HSPA5;GOLM1;WFS1;LAMB2;WNT7B;FUCA2;FMO1;TOR1B;CP;TSPAN15;COL5A1;COL5A3;COL7A1;MGAT4A;COL9A3;CALR
Lysosomal Lumen (GO:0043202)	24/86	0.00130196271249043	0.0266902356060538	0	0	2.22777607563356	14.8010822026689	CTSA;MANBA;SDC4;HEXB;GAA;HEXA;OMD;GBA1;PRELP;PLD3;SGSH;GALC;GM2A;TCN2;MAN2B2;LAMP2;NEU1;OGN;PPT1;IDS;CTSF;PPT2;FMOD;CTSD
Endocytic Vesicle Membrane (GO:0030666)	38/159	0.00169692829519169	0.0310999750132315	0	0	1.809692012146	11.5439087062821	CAMK2B;COLEC12;SNAP23;PIK3R4;TGFA;ADRB2;TCIRG1;LRP2;EGFR;SLC2A8;ATP6V0A2;APOE;ATP7A;LDLRAP1;B2M;CAMK2G;GRIA3;GRIA4;WNT4;LYN;FZD5;SYT1;FZD4;WNT7B;WNT5A;ENTPD7;TAP2;M6PR;TAP1;CYBA;F3;ATG12;TAPBP;GNAO1;DLG4;CALR;ATP6V0D1;CFTR
Recycling Endosome (GO:0055037)	38/159	0.00169692829519169	0.0310999750132315	0	0	1.809692012146	11.5439087062821	REP15;NDRG1;SCAMP5;ZFYVE27;VPS51;MICALL2;RAB29;STX6;ENTR1;LDLRAP1;B2M;PDLIM4;ATP9A;DYNC1I1;BOK;PDIA3;FZD7;CMTM6;PLEKHA3;ATP11A;NSG1;F3;SORL1;TMEM230;RAB11B;TPCN1;CLIP3;BACE1;ENTREP1;SLC9A6;SLC9A7;SYT11;SLC9A9;RAB13;ULK1;ATP13A3;CFTR;OPTN
Cilium (GO:0005929)	56/257	0.00176991727717578	0.0310999750132315	0	0	1.60772270335565	10.1878533514256	DYNC2I2;ODAD3;IFT172;CEP19;PKD2;PKD1;TCTN3;ROPN1L;KIFAP3;SPA17;IFT57;BBS5;BBS4;MKKS;SORD;CASK;IFT80;NME5;RILPL2;IFT81;RILPL1;RP2;FAM161B;ALPK1;CEP20;INTU;ARL6;TSGA10IP;ARL3;RSPH9;CFAP126;ADCY5;KIF3B;TMEM67;NPHP1;P2RY1;PDE6D;NPHP3;NPHP4;KIF3C;ATP6V1D;BBS2;BBS1;WHRN;WDR19;MOK;LCA5;IFT122;FHDC1;TMEM231;TSGA10;TTC8;IFT22;RSPH1;HYLS1;DYNLRB1
Postsynaptic Density (GO:0014069)	35/151	0.00428584593154252	0.0707012974164437	0	0	1.73740504620009	9.47309213034069	RTN3;RTN1;DAGLA;LRP4;ADCY8;ADD3;CACNG7;SAMD14;GRIN2A;ADGRA1;CDH2;NETO1;P2RY1;SYNDIG1;PTK2B;SRGAP3;PDLIM5;GRIA3;LZTS3;GRIA4;KCND1;KCND3;MAGI2;HIP1R;TSC2;GRIN2B;GRIN2D;INPP4A;DLG1;ARHGEF9;CDK5;DLG4;SYT11;ADGRL1;NSMF
Phagocytic Vesicle Membrane (GO:0030670)	14/45	0.0044068559365263	0.0707012974164437	0	0	2.59501843006391	14.0769208434003	APLP2;SNAP23;PIK3R4;TAP2;TAP1;CYBA;TCIRG1;ATG12;TAPBP;ATP6V0A2;CALR;ATP7A;ATP6V0D1;B2M
trans-Golgi Network (GO:0005802)	51/241	0.00510605625488719	0.0756256461642135	0	0	1.54730355501901	8.16562828691905	USP6NL;GBA1;SCAMP5;RAB43;CCDC91;MMP24;GOLGA1;CLBA1;ATP7A;ARL5A;BOK;POSTN;COG6;WIPI1;ARAP1;BACE1;CLIP3;BACE2;PREPL;SLC9A7;TRAPPC6B;TBC1D23;PLPP3;RAB7B;OPTN;CHST2;GRN;CCDC186;VPS51;STX6;RAB29;MARCHF9;ST3GAL1;ATP9A;RIC1;YIPF2;ATP8B1;GBF1;M6PR;AZIN2;PLEKHA3;NSG1;SORL1;TMEM230;GNAO1;NBEA;DOP1B;SYT11;RAB13;CORO7;LGR6
Filopodium (GO:0030175)	17/60	0.00528957208351211	0.0756256461642135	0	0	2.27241962774958	11.9120644285329	ITGB1;RIPOR2;CXADR;MYO10;ITGA3;ITGB3;TWF2;UNC5C;IQGAP2;ACTG2;MTM1;ACTA2;PODXL;PDPN;DAG1;DMD;EZR
Recycling Endosome Membrane (GO:0055038)	19/70	0.00552664423858572	0.0756256461642135	0	0	2.1418099241051	11.1335016801586	PDIA3;FZD7;CMTM6;NSG1;NDRG1;RAB11B;TPCN1;SCAMP5;CLIP3;ENTREP1;ZFYVE27;SLC9A6;SLC9A7;SLC9A9;ATP13A3;B2M;OPTN;ATP9A;BOK
