Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
Ribosome Biogenesis (GO:0042254)	98/155	3.07913933649488e-51	1.33111193516674e-47	0	0	12.9431313565392	1505.37923297404	LTV1;RPL5;SPPL2B;NOC2L;PWP2;RRP9;RPS15;FBL;RPS17;RPS19;MTREX;RPS11;RPS13;RPS9;RPS7;RPS8;RPS5;NGDN;RPS6;GTF3A;WDR74;DDX10;DNTTIP2;WDR75;GTPBP4;EBNA1BP2;DKC1;GRWD1;MRTO4;RPL27;RPL26;RPS19BP1;NOLC1;SNU13;RPF2;EMG1;RRS1;UTP20;LYAR;NOP14;NOP16;PNO1;MRPL22;WDR55;RPS25;RPS28;TBL3;MPHOSPH10;RSL24D1;RPS24;RPS23;DDX49;DDX47;WDR3;NAT10;WDR46;WDR43;XPO1;NOB1;RRP12;METTL17;PELP1;UTP15;WDR36;UTP11;DIS3;URB2;UTP18;DDX27;NIP7;HEATR1;NOL8;NOC4L;SDAD1;TMA16;NOL6;EXOSC7;EXOSC5;BMS1;EXOSC9;PES1;RPL14;HEATR3;IGF2BP3;EXOSC3;EXOSC2;DCAF13;NOP56;NOP58;NPM1;UTP6;UTP4;KRR1;WDR18;DDX31;WDR12;BOP1;NOP53
Ribonucleoprotein Complex Biogenesis (GO:0022613)	75/118	1.03616054058289e-39	2.23966100846992e-36	0	0	13.012370113805	1168.05926186264	LTV1;RPL5;SPPL2B;WDR3;NAT10;NOC2L;PWP2;WDR46;WDR43;RRP9;RPS15;FBL;RPS17;XPO1;RPS19;RPL38;RPS11;RPS13;METTL17;UTP15;RPS9;WDR36;RPS7;UTP11;RPS8;RPS5;NGDN;RPS6;GTF3A;WDR74;DNTTIP2;WDR75;URB2;UTP18;GTPBP4;EBNA1BP2;SHQ1;GRWD1;MRTO4;RPL26;RPS19BP1;NIP7;HEATR1;SNU13;RPF2;SDAD1;TMA16;NOL6;EMG1;BMS1;PES1;RRS1;RPL14;HEATR3;UTP20;IGF2BP3;NOP56;NOP14;NOP58;NPM1;UTP6;NOP16;UTP4;PNO1;KRR1;DDX31;WDR12;RPS25;BOP1;RPS28;TBL3;MPHOSPH10;RSL24D1;RPS24;RPS23
rRNA Processing (GO:0006364)	66/101	3.3121761674893e-36	4.77284585735209e-33	0	0	14.020953188397	1145.44819122916	RPL5;DDX49;DDX47;SPPL2B;WDR3;NAT10;RRP9;RPS15;FBL;RPS17;RPS19;NOB1;MTREX;RRP12;RRP15;PELP1;UTP15;WDR36;RPS7;DIS3;RPS6;WDR74;DDX10;DDX52;EBNA1BP2;DKC1;MRTO4;NHP2;RPL27;RPL26;DDX27;NOP2;MAK16;NOLC1;NOL8;SNU13;NOC4L;NOL9;NOL6;EXOSC7;EMG1;EXOSC5;ERI1;EXOSC9;PES1;RPL14;UTP20;IGF2BP3;EXOSC3;LYAR;EXOSC2;DCAF13;NOP56;NOP14;NOP58;UTP4;WDR18;WDR55;RPS25;RPS28;LSM6;LAS1L;MPHOSPH10;NOL11;NOP53;RPS24
Translation (GO:0006412)	100/234	3.0888530436432e-32	3.33827792691739e-29	0	0	5.59813834055529	406.172497009799	RPL4;RPL5;RPL30;RPL3;RPL32;RPL8;RPL10A;YARS2;RPS15;RPS17;RPL18A;RPS19;RPL38;RPL37;RPS11;RPS10;CHCHD1;RPS13;RPS9;RARS1;RPS7;RPS8;RPS5;RPL22;RPS6;GTPBP1;TUFM;LARS1;RPL27;RPL26;RPL28;DAP3;MRPL19;MRPL12;EIF4EBP2;VARS1;HARS1;RPL41;EEF2;MRPL22;RPS26;RPS25;RPS28;RPS20;RPS24;FARSB;RPS23;HBS1L;MRPS15;RPLP0;MRPL38;MRPL35;MRPL33;MRPL42;EEF2K;RACK1;MRPL9;EIF5A;TSFM;MRPS27;MRPS24;MRPS25;MRPS22;PABPC4;MARS2;MRPS23;DHPS;MARS1;RPL13A;MRPL48;MRPS7;QRSL1;DARS1;MRPL52;MRPS9;EEF1D;MRPL58;MRPS30;MRPL57;MRPL54;RPL14;RPS3;RPL13;IARS2;IGF2BP3;RPL15;IARS1;RPL18;RPS27A;RPL19;GADD45GIP1;PTCD3;RWDD1;RPL23A;WARS1;GARS1;DRG1;DRG2;RPL22L1;ABCE1
Ribosomal Small Subunit Biogenesis (GO:0042274)	55/84	1.87474896587107e-30	1.62090795589212e-27	0	0	14.0408846209806	961.085606950732	LTV1;SPPL2B;WDR3;NAT10;PWP2;WDR46;WDR43;RRP9;RPS15;FBL;RPS17;NOB1;RPS19;RPS11;RPS13;METTL17;UTP15;RPS9;WDR36;RPS7;UTP11;RPS8;RPS5;NGDN;RPS6;DNTTIP2;WDR75;DDX52;MRPS7;UTP18;RPS19BP1;HEATR1;RPS27L;SNU13;NOL6;EMG1;BMS1;IGF2BP3;UTP20;NOP56;NOP14;NOP58;NPM1;UTP6;UTP4;KRR1;PNO1;RPS25;RPS28;TBL3;LSM6;MPHOSPH10;NOL11;RPS24;RPS23
rRNA Metabolic Process (GO:0016072)	57/91	5.44712452470924e-30	3.92465322005301e-27	0	0	12.4184842011129	836.788076171786	RPL5;DDX49;DDX47;SPPL2B;RRP9;RPS15;FBL;RPS17;NOB1;RPS19;MTREX;RRP12;PELP1;UTP15;WDR36;RPS7;DIS3;MARS1;RPS6;GTF3A;WDR74;DDX10;SIRT7;EBNA1BP2;DKC1;MRTO4;RPL27;POLR1G;RPL26;DDX27;NOL8;NOLC1;NOC4L;NOL6;EXOSC7;EMG1;EXOSC5;EXOSC9;PES1;RPL14;IGF2BP3;UTP20;EXOSC3;EXOSC2;LYAR;DCAF13;NOP56;NOP14;NOP58;CAVIN1;NIFK;WDR18;WDR55;RPS25;RPS28;NOP53;RPS24
ncRNA Processing (GO:0034470)	59/100	5.7367818690507e-29	3.54287257427231e-26	0	0	10.6643506587221	693.482133607805	RPL5;DDX49;DDX47;SPPL2B;INTS10;RRP9;THG1L;RPS15;FBL;RPS17;RPS19;NOB1;MTREX;RRP12;PELP1;UTP15;WDR36;RPS7;DIS3;RPS6;WDR74;DDX10;EBNA1BP2;DKC1;MRTO4;RPL27;RPL26;DDX27;KARS1;NOLC1;NOL8;NOC4L;NOL6;EXOSC7;EMG1;EXOSC5;EXOSC9;PES1;RPL14;UTP20;IGF2BP3;EXOSC3;LYAR;EXOSC2;DCAF13;NOP56;NOP14;NOP58;WDR18;INTS2;ADAT1;WDR55;RPS25;RPS28;INTS7;INTS6;INTS9;NOP53;RPS24
Gene Expression (GO:0010467)	108/296	1.24749072610149e-27	6.74112801117094e-25	0	0	4.31086603182766	267.052388751848	RPL4;RPL5;RPL30;NUP107;RPL3;RPL32;FMR1;EIF4A3;HNRNPU;RPL8;RPL10A;YARS2;RPS15;RPS17;RPL18A;RPS19;RPL38;RPL37;RPS11;RPS10;RPS13;AGFG1;TGM2;RPS9;RPS7;RPS8;RPS5;RPL22;RPS6;THOC1;DNTTIP2;THOC5;THOC7;PRPF4;DDX39A;DKC1;SARNP;SRSF3;RPL27;RPL26;RPL28;MRPL12;NUP85;TSPAN5;EIF4EBP2;HARS1;RPL41;RBPMS;ALYREF;MAGOHB;RPS26;RPS25;RPS28;HNRNPF;MPHOSPH10;RPS20;RPS24;FARSB;RPS23;HBS1L;MRPS15;RPLP0;MRPL35;BICD1;M1AP;RBM3;MRPL42;SYNCRIP;XPO1;CASP8;MRPL9;NUP133;DIS3;PABPC4;DHPS;RPL13A;MRPS7;DARS1;MRPL52;DDX19B;HNRNPH3;RBMS2;NUFIP1;DDX20;NOL9;HSPD1;EXOSC7;EXOSC5;PABPN1;EXOSC9;EXOSC8;RPL14;RPS3;RPL13;IGF2BP3;RPL15;EXOSC3;RPL18;RPS27A;EXOSC2;EXOSC1;RPL19;RPL23A;WARS1;MCM3AP;SNRNP40;TSPAN14;MBTPS2
DNA Metabolic Process (GO:0006259)	96/288	2.07974706190325e-21	9.98971838734195e-19	0	0	3.73185916702447	177.718749032015	TOP2A;TOP2B;SMARCB1;MCM7;OGG1;FMR1;MCM9;HMGB2;HMGB3;BRCA1;HMGB1;ENDOV;HELB;HPF1;TRIM28;EXO1;RUVBL2;CHEK1;RUVBL1;KPNA2;POLE;WDHD1;RMI2;PARP1;LIG1;PARP2;NSMCE3;TOP3A;HUS1;LIG3;CHD1L;ACTR8;UCHL5;INIP;SUPV3L1;RAD51D;CDC34;MSH2;GRWD1;TIMELESS;MCM3;MCM5;DNA2;MCM6;DCTPP1;ASF1A;MCM2;PRIM2;INO80B;RTEL1;BLM;RNASEH2A;PARG;PRIM1;SAMHD1;MACROH2A1;UNG;RECQL4;ORC5;RAD51AP1;POLD3;NT5E;ORC6;ORC1;POLD1;TDG;HLTF;ORC2;POLD2;RPS3;XRCC6;NPM1;RRM1;XRCC5;MGMT;FANCL;PTGES3;CNBP;XRCC3;SMARCA5;FANCA;RPA2;NAP1L1;NOC3L;POLA1;TDP1;APEX1;POLE2;CDK2;PWWP3A;CDK1;NABP2;UBE2N;NOP53;RAD18;RAN
Cytoplasmic Translation (GO:0002181)	49/93	2.49451411270718e-21	1.07837845092332e-18	0	0	8.21681779920416	389.807422133612	RPL4;EIF4A1;RPL5;RPL30;RPL3;RPL32;RPLP0;RPL10A;RPL8;RPS15;RPS17;RPL18A;RPS19;RACK1;RPL38;RPL37;RPS11;RPS10;RPS13;RPS9;RPS7;RPS8;RPS5;RPL22;RPS6;RPL13A;RPL27;RPL26;RPL28;RPL14;RPS3;RPL13;RPL15;RPL18;RPS27A;RPL19;RWDD1;EIF2B3;RPL41;RPL23A;RPS26;RPS25;RPS28;EIF3I;DRG2;RPL22L1;RPS20;RPS24;RPS23
Macromolecule Biosynthetic Process (GO:0009059)	70/183	1.10622430973122e-19	4.34746153724369e-17	0	0	4.5932773425023	200.488123076765	RPL4;RPL5;HBS1L;RPL30;MRPS15;RPL3;RPL32;RPLP0;RPL10A;RPL8;YARS2;MRPL35;RPS15;MRPL42;RPS17;EEF2K;RPL18A;RPS19;RPL38;RPL37;MRPL9;RPS11;RPS10;RPS13;EIF5A;TSFM;RPS9;RPS7;RPS8;RPS5;PABPC4;RPL22;RPS6;DHPS;RPL13A;MRPS7;GTPBP1;DARS1;TUFM;MRPL52;EEF1D;RPL27;RPL26;RPL28;GCNT1;MRPL12;POLD3;POLD1;POLD2;RPL14;RPS3;EIF4EBP2;RPL13;IGF2BP3;RPL15;RPL18;RPS27A;RPL19;HARS1;RPL41;RPL23A;EEF2;WARS1;RPS26;RPS25;RPS28;RPS20;RPS24;FARSB;RPS23
RNA Processing (GO:0006396)	67/183	9.91028428296224e-18	3.57017991293715e-15	0	0	4.27653841654236	167.439131743064	TCERG1;DDX47;HNRNPU;USP39;BICD1;CCAR2;M1AP;RBM3;SYNCRIP;RSRC1;DHX15;SNRPD3;SRRM4;SNRPN;DIS3;PABPC4;METTL3;THOC1;DNTTIP2;SRRM1;PRPF4;SFPQ;DKC1;SNRPG;SRSF2;LUC7L3;SNRNP25;SNRPF;HNRNPH3;SRSF7;RBMS2;NUFIP1;SF3B3;SRSF1;WBP4;DDX20;NOL9;U2AF1;PRPF8;TBRG4;EXOSC7;EXOSC5;PABPN1;EXOSC9;EXOSC8;EXOSC3;EXOSC2;EXOSC1;HNRNPA0;IVNS1ABP;SF3A1;CPSF6;SF3A2;RBPMS;YJU2;LSM5;MAGOHB;LSM4;LSM3;NUDT21;SNRNP40;LSM6;HNRNPF;MPHOSPH10;CDK12;HNRNPC;TARDBP
Peptide Biosynthetic Process (GO:0043043)	60/158	6.7786812316177e-17	2.25417222802179e-14	0	0	4.52439918885102	168.444123831693	RPL4;RPL5;HBS1L;RPL30;MRPS15;RPL3;RPL32;RPLP0;RPL10A;RPL8;YARS2;MRPL35;GGTA1;RPS15;MRPL42;RPS17;RPL18A;RPS19;RPL38;RPL37;MRPL9;RPS11;RPS10;RPS13;RPS9;RPS7;RPS8;RPS5;PABPC4;RPL22;RPS6;DHPS;RPL13A;MRPS7;DARS1;MRPL52;RPL27;RPL26;RPL28;MRPL12;RPL14;RPS3;EIF4EBP2;RPL13;IGF2BP3;RPL15;RPL18;RPS27A;RPL19;HARS1;RPL41;RPL23A;WARS1;RPS26;RPS25;RPS28;RPS20;RPS24;FARSB;RPS23
Maturation Of SSU-rRNA (GO:0030490)	26/38	8.25364162492014e-16	2.54860662460927e-13	0	0	15.8620953174934	550.901784495171	UTP25;SPPL2B;WDR3;HEATR1;NAT10;SNU13;PWP2;WDR46;WDR43;NOB1;RPS19;IGF2BP3;DCAF13;NOP14;UTP6;UTP4;RPS8;NGDN;DDX52;RPS28;LSM6;TSR2;MPHOSPH10;TSR1;NOL10;NOL11
Ribosomal Large Subunit Biogenesis (GO:0042273)	31/54	2.1098782406677e-15	6.08066908960431e-13	0	0	9.88180596418583	333.927431416451	RPL5;NIP7;RPLP0;MAK16;NOP2;PPAN;NOC2L;RPF2;SDAD1;TMA16;PES1;RPL14;RRS1;HEATR3;BRIX1;RRP15;MDN1;NPM1;NOP16;GTF3A;WDR74;RPL23A;WDR12;GTPBP4;NLE1;EBNA1BP2;LAS1L;MRTO4;RPL26;NOP53;RSL24D1
mRNA Splicing, Via Spliceosome (GO:0000398)	69/211	2.72930120127604e-15	7.37423068319771e-13	0	0	3.59548590353667	120.573651829698	ISY1;DDX46;EIF4A3;HNRNPU;PPWD1;WDR83;CWC27;USP39;EFTUD2;SYNCRIP;RSRC1;DHX15;MTREX;SNRPD3;PRMT5;PRMT7;SNRPN;METTL3;RBM19;CDC40;SRRM1;WDR77;PRPF4;SFPQ;DDX39A;CLNS1A;SNRPG;SRSF2;STRAP;GEMIN5;PPIE;SRSF3;GEMIN6;PPIH;SNRPE;HNRNPH3;PABPC1;SNRPF;CACTIN;SRSF6;SRSF7;SF3B5;DDX5;SF3B3;DHX9;SRSF1;WBP4;DDX20;SNU13;U2AF1;PRPF8;TRA2A;SMN1;HNRNPA1;SF3A1;SF3A2;GPKOW;MAGOHB;LSM5;LSM4;LSM3;LSM7;SNRNP40;PHF5A;LSM6;HNRNPF;CWF19L1;PRPF31;HNRNPC
mRNA Processing (GO:0006397)	69/214	6.08698823741019e-15	1.54788530296025e-12	0	0	3.52049060359464	115.234891624395	ISY1;TCERG1;DDX46;EIF4A3;HNRNPU;PPWD1;WDR83;CWC27;USP39;EFTUD2;SYNCRIP;RSRC1;DHX15;MTREX;SNRPD3;CMTR2;SRRM4;SNRPN;METTL3;RBM19;CDC40;SRRM1;PRPF4;SFPQ;DDX39A;SNRPG;SRSF2;GEMIN5;PPIE;SRSF3;GEMIN6;PPIH;SNRPE;HNRNPH3;PABPC1;SNRPF;CACTIN;SRSF6;SRSF7;SF3B5;DDX5;SF3B3;SRSF1;WBP4;SNU13;U2AF1;PRPF8;TBRG4;TRA2A;HNRNPA1;HNRNPA0;SF3A1;SF3A2;CPSF6;GPKOW;ALYREF;MAGOHB;LSM5;LSM4;LSM3;NUDT21;LSM7;SNRNP40;PHF5A;LSM6;HNRNPF;CWF19L1;PRPF31;HNRNPC
protein-RNA Complex Assembly (GO:0022618)	54/150	3.27539016069978e-14	7.86639536928063e-12	0	0	4.14674715309996	128.755480276537	ISY1;RPL5;HSP90AB1;RPLP0;PPAN;PWP2;USP39;RPS15;RPS19;RPL38;SNRPD3;PRMT5;PRMT7;RPS5;MRPS7;WDR77;SHQ1;CLNS1A;SNRPG;GEMIN5;LUC7L3;STRAP;GEMIN6;SNRPE;SNRPF;SRSF6;DHX9;NOP2;SRSF1;DDX20;RPS27L;RPF2;RRS1;BRIX1;SMN1;MDN1;CPSF6;SF3A2;XRCC5;PTGES3;RPL23A;LSM4;NLE1;TARBP2;BOP1;NUDT21;RPS28;EIF3L;EIF3I;EIF3E;HNRNPC;EIF3D;NOP53;EIF3B
RNA Splicing, Via Transesterification Reactions With Bulged Adenosine As Nucleophile (GO:0000377)	60/180	6.75481669458819e-14	1.53689855635288e-11	0	0	3.69027484143763	111.911036697407	ISY1;DDX46;EIF4A3;HNRNPU;PPWD1;WDR83;CWC27;USP39;EFTUD2;SYNCRIP;RSRC1;DHX15;MTREX;SNRPD3;SNRPN;METTL3;RBM19;CDC40;SRRM1;PRPF4;DDX39A;SNRPG;SRSF2;GEMIN5;PPIE;SRSF3;GEMIN6;PPIH;SNRPE;SNRPF;HNRNPH3;PABPC1;SRSF6;CACTIN;SRSF7;SF3B5;DDX5;SF3B3;SRSF1;WBP4;SNU13;U2AF1;PRPF8;TRA2A;HNRNPA1;SF3A1;SF3A2;GPKOW;LSM5;MAGOHB;LSM4;LSM3;LSM7;SNRNP40;LSM6;PHF5A;HNRNPF;CWF19L1;PRPF31;HNRNPC
Maturation Of SSU-rRNA From Tricistronic rRNA Transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000462)	21/30	2.53000991803523e-13	5.46861643783315e-11	0	0	17.0496394897393	494.53132317344	UTP25;NOP14;UTP6;UTP4;RPS8;HEATR1;NGDN;RPP40;KRI1;PWP2;WDR46;WDR43;TBL3;RPS19;BMS1;RRS1;TSR2;TSR1;UTP20;NOL10;DCAF13
DNA-templated DNA Replication (GO:0006261)	31/69	1.22055808996498e-11	2.51260601091363e-09	0	0	5.97598162071846	150.171205985036	PRIM2;BLM;MCM7;PRIM1;ORC5;POLD3;RECQL4;HELB;ORC6;ORC1;POLD1;ORC2;POLD2;POLE;TEFM;WDHD1;RRM1;RFC1;WDR18;HMGA1;WRNIP1;NOC3L;POLA1;CDC34;POLE2;MCM3;MCM5;DNA2;MCM6;SSBP1;MCM2
DNA Repair (GO:0006281)	77/291	1.59733070939434e-11	3.13875484395987e-09	0	0	2.66044078077982	66.1388294238721	MPG;OGG1;FMR1;BRCA1;ENDOV;HPF1;TRIM28;EXO1;CHEK1;POLE;WDHD1;RMI2;PARP1;LIG1;PARP2;NSMCE3;HUS1;LIG3;WRNIP1;RAD23A;CHD1L;ACTR8;SIRT1;INIP;RAD51D;MSH2;TIMELESS;DNA2;ASF1A;BLM;RNASEH2B;RNASEH2A;FAAP24;MACROH2A1;UNG;RECQL4;RAD51AP1;POLD3;POLD1;TDG;HLTF;RPS3;PMS2;ASCC2;ASCC3;FANCI;XRCC6;NPM1;RRM1;CENPX;XRCC5;ERCC6L2;MGMT;FANCL;ASCC1;XRCC3;SMARCA5;FANCA;RPA2;HMGA2;GTF2H2;FANCB;POLA1;TDP1;APEX1;RFWD3;POLE2;PWWP3A;CDK1;NABP2;UBE2N;ERCC8;TRIP13;ERCC6;HROB;NOP53;RAD18
tRNA Aminoacylation For Protein Translation (GO:0006418)	20/35	2.30939964083318e-10	4.34066723796602e-08	0	0	9.73527373527373	216.01465844011	HARS1;RARS1;KARS1;MARS2;MARS1;DARS2;YARS1;DARS1;WARS1;GARS1;LARS1;NARS2;IARS2;TARS2;IARS1;FARSA;CARS2;TARS1;VARS1;FARSB
Maturation Of 5.8S rRNA From Tricistronic rRNA Transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000466)	15/21	4.57980447995347e-10	8.24937281951619e-08	0	0	18.2251037344398	391.916177724147	NOP14;RPP40;NOL9;KRI1;WDR12;FTSJ3;EXOSC7;ERI1;EXOSC9;PES1;EXOSC8;RRS1;UTP20;EXOSC3;EXOSC2
RNA Metabolic Process (GO:0016070)	38/111	1.06347992707686e-09	1.83896948990131e-07	0	0	3.81677006157784	78.8610318581896	RNASEH2B;RNASEH2A;NUFIP1;DHX9;DDX20;PARN;HNRNPU;NOL9;BICD1;TBRG4;M1AP;RBM3;EXOSC7;SYNCRIP;EXOSC5;PABPN1;EXOSC9;EXOSC8;PPP1R8;MTREX;EXOSC3;EXOSC2;EXOSC1;PNPT1;RBPMS;DIS3;PABPC4;THOC1;WDR74;DNTTIP2;SUPV3L1;PRPF4;SNRNP40;DKC1;HNRNPF;MPHOSPH10;HNRNPH3;RBMS2
DNA Damage Response (GO:0006974)	87/384	4.2497040317815e-09	7.06595020361208e-07	0	0	2.16477002704548	41.7290086594201	TOP2A;CDKN1A;DYRK2;MCM7;OGG1;SUV39H1;FMR1;MCM9;ASH2L;BRCA1;ENDOV;HELB;HPF1;TRIM28;EXO1;MYC;CHEK1;MTREX;FBXO5;IER3;WDHD1;RMI2;SHPRH;ARMT1;PARP1;LIG1;PARP2;NSMCE3;METTL3;HUS1;UBE2E2;VRK1;SIRT7;CHD1L;PPP4R3B;SIRT1;WDR76;INIP;RAD51D;MSH2;DDIT3;TIMELESS;CRY1;ASF1A;EPHA2;RTEL1;BLM;USP10;HTRA2;SAMHD1;MACROH2A1;UNG;RECQL4;RAD51AP1;BCLAF1;PAK1;POLD1;HLTF;RPS3;BID;MAP2K6;PLK3;NPM1;TIGAR;RRM1;XRCC5;MGMT;FANCL;XRCC3;SMARCA5;FANCA;NFATC2;MAPK12;POLA1;ETAA1;TDP1;APEX1;RFWD3;POLE2;BCL3;PWWP3A;CDK1;NABP2;ERCC8;HROB;NOP53;RAD18
RNA Splicing (GO:0008380)	34/98	5.35301765310332e-09	8.57077604235764e-07	0	0	3.8907230238394	74.1011753850566	TCERG1;SF3B3;DDX47;WBP4;WDR83;U2AF1;USP39;PRPF8;CCAR2;SYNCRIP;RSRC1;DHX15;SNRPD3;IVNS1ABP;SNRPN;YJU2;MAGOHB;LSM4;SRRM1;PRPF4;SFPQ;SNRNP40;LSM6;SNRPG;SRSF2;MPHOSPH10;LUC7L3;SNRNP25;SNRPF;CDK12;HNRNPC;HNRNPH3;TARDBP;SRSF7
DNA Replication (GO:0006260)	28/73	9.3741203329605e-09	1.44729722140672e-06	0	0	4.55050294349418	84.1174716758886	BLM;RNASEH2A;MCM7;MCM9;ORC5;POLD3;RECQL4;HELB;POLD1;CHEK1;POLD2;POLE;WDHD1;RFC1;WDR18;RPA2;WRNIP1;NAP1L1;BAZ1A;POLA1;GRWD1;POLE2;CDK2;CDK1;MCM5;DNA2;MCM6;MCM2
Ribosome Assembly (GO:0042255)	22/50	1.86659591599688e-08	2.78251522236363e-06	0	0	5.73738184412342	102.105685119136	RPL5;NPM1;RPS5;RPLP0;NOP2;PPAN;RPS27L;RPL23A;PWP2;MRPS7;RPF2;NLE1;MRPL22;RPS15;RPS28;RPS19;NOA1;C1QBP;RRS1;BRIX1;NOP53;MDN1
Mitochondrial Translation (GO:0032543)	33/98	2.08041952698548e-08	2.91450062687661e-06	0	0	3.71642655003859	65.7365659904731	MRPS15;MRPL19;MRPL38;MRPL58;MTIF2;MRPS30;MRPL12;MRPL35;MRPL57;MRPL54;MRPL33;MRPL42;MTRF1;IARS2;MRPL9;CHCHD1;GADD45GIP1;PTCD3;TSFM;HARS1;MRPS27;MRPS24;MRPS25;MRPS22;MRPS23;MRPL48;MRPS7;QRSL1;TUFM;MRPL22;MRPL52;MRPS9;DAP3
Positive Regulation Of Telomerase RNA Localization To Cajal Body (GO:1904874)	11/14	2.0899726910288e-08	2.91450062687661e-06	0	0	26.6904170118752	471.980783124056	CCT3;CCT6A;SHQ1;DKC1;RUVBL2;RUVBL1;NHP2;CCT8;CCT7;CCT5;CCT4
Positive Regulation Of DNA Repair (GO:0045739)	31/89	2.24849376625964e-08	3.03757454735638e-06	0	0	3.91083311727595	68.8714144847833	INO80B;SMARCD2;SMARCB1;HDAC10;DHX9;BRCA1;HMGB1;SMCHD1;BCL7A;TRIM28;RUVBL2;DPF1;RUVBL1;RPS3;USP1;PBRM1;SMARCC1;TIGAR;PARP1;PHF10;MGMT;EYA4;ACTR8;SIRT1;UCHL5;TIMELESS;SPIRE2;UBE2N;ERCC6;FGF10;WRAP53
Positive Regulation Of DNA Metabolic Process (GO:0051054)	35/108	2.401336081416e-08	3.14575026665496e-06	0	0	3.5110334154869	61.5998715864554	OTUD4;BCAR3;INO80B;PRIM2;RTEL1;DHX9;BRCA1;HMGB1;GLI1;FGF2;SMCHD1;TRIM28;MYC;RUVBL2;RUVBL1;RPS3;KAT7;CDT1;TIGAR;ATAD5;TINF2;EYA4;SMARCA5;ACTR8;BAZ1A;SIRT1;HNRNPAB;UCHL5;EREG;GNL3;UBE2N;DNA2;ERCC6;FGF10;WRAP53
Regulation Of Telomerase RNA Localization To Cajal Body (GO:1904872)	12/17	3.38138222673477e-08	4.29932804887483e-06	0	0	17.4753418980522	300.617754627905	CCT3;CCT6A;SHQ1;DKC1;RUVBL2;RUVBL1;PARN;NHP2;CCT8;CCT7;CCT5;CCT4
Maturation Of LSU-rRNA (GO:0000470)	13/20	4.02083097400904e-08	4.96630065732603e-06	0	0	13.5266524520256	230.347963788747	DDX18;NIFK;MAK16;NOP2;RPF2;WDR12;FTSJ3;LAS1L;ZNHIT3;PES1;RPL7L1;RBM34;RRP15
Positive Regulation Of Transcription By RNA Polymerase I (GO:0045943)	17/34	7.58453576004245e-08	9.10776335851764e-06	0	0	7.29152823920266	119.541465297806	UTP15;SMARCB1;HEATR1;MARS1;SMARCA5;DDX21;WDR75;SIRT7;PWP1;WDR43;DHX33;MYBBP1A;NCL;ERCC6;NOL11;LYAR;ATF4
Mitochondrial Gene Expression (GO:0140053)	33/103	8.14687757737219e-08	9.51863561269729e-06	0	0	3.44998208313426	56.3142162747765	MRPS15;MRPL19;MRPL38;MRPL58;MRPS30;MRPL12;MRPL35;MRPL57;MRPL54;MRPL33;TBRG4;MRPL42;IARS2;MRPL9;CHCHD1;TEFM;GADD45GIP1;PTCD3;HARS1;MRPS27;MRPS24;MRPS25;MRPS22;MRPS23;MRPL48;POLRMT;MRPS7;QRSL1;MRPL22;MRPL52;MRPS9;TFAM;DAP3
Positive Regulation Of Protein Localization To Chromosome, Telomeric Region (GO:1904816)	9/11	2.44241890794957e-07	2.77857287870157e-05	0	0	32.731167218543	498.33551485638	CCT3;CCT6A;DKC1;CCT8;CCT7;CCT5;CCT4;GNL3;WRAP53
Positive Regulation Of Translation (GO:0045727)	33/108	2.85006257612621e-07	3.15918474784451e-05	0	0	3.2190635451505	48.5137170539094	RPL5;DHX9;FMR1;EIF4A3;HNRNPU;NAT10;RPS27L;YBX3;RCC1L;RBM3;SYNCRIP;LARP1;C1QBP;IGF2BP1;EIF2B5;EIF5A;NPM1;MRPS27;NSUN5;CNBP;METTL3;CIRBP;PYM1;UPF3B;EEF2;LARP4;TENT5B;RPS6KB1;BCL3;EIF3E;RPL26;PABPC1;EIF3D
RNA Catabolic Process (GO:0006401)	22/57	3.1407210270096e-07	3.39433424994063e-05	0	0	4.58807443077106	68.7001897352268	RNASEH2B;RNASEH2A;PNPT1;DIS3;PABPC4;METTL3;LSM5;SUPV3L1;EXOSC7;EXOSC5;LSM6;EXOSC9;EXOSC8;PPP1R8;MTREX;DNA2;METTL16;EXOSC3;EXOSC2;EXOSC1;DIS3L2;ZPR1
Regulation Of DNA Replication (GO:0006275)	26/75	3.34456607984881e-07	3.52647784467961e-05	0	0	3.8764110896547	57.800230332596	BCAR3;INO80B;BLM;DHX9;DSCC1;JADE3;JADE2;GLI1;ORC5;RUVBL2;RUVBL1;KAT7;FBXO5;CDT1;ATAD5;SMARCA5;ACTR8;BAZ1A;CDC6;GTPBP4;UCHL5;WAPL;EREG;CCNA2;DNA2;OBI1
Spliceosomal snRNP Assembly (GO:0000387)	17/37	3.60770173341846e-07	3.71335585561143e-05	0	0	6.19674003322259	91.9287915781075	PRMT5;PRMT7;DDX20;PRPF8;LSM4;WDR77;CLNS1A;SNRPG;GEMIN5;STRAP;GEMIN6;PRPF31;SNRPE;SMN1;SNRPD3;HNRNPC;SNRPF
Positive Regulation Of Establishment Of Protein Localization To Telomere (GO:1904851)	8/9	3.71418975642033e-07	3.73405635279188e-05	0	0	58.167976830782	861.231289688256	CCT3;CCT6A;DKC1;CCT8;CCT7;CCT5;CCT4;WRAP53
