Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
Focal Adhesion WP85	86/185	1.28155691988273e-09	2.03514640103588e-07	0	0	2.50179096625151	51.2246457608178	MYLK2;GSK3B;FLT1;ITGB5;ITGB3;TNC;ARAF;PTEN;LAMC2;PIK3CB;ACTB;PIK3CG;MYLK;CCND3;CCND2;CCND1;AKT2;ITGB8;ITGAV;ITGB7;ITGB6;PDGFRB;MAP2K3;MAP2K1;MAP2K2;PPP1R12A;ITGA4;ITGA3;ACTN1;RHOA;HCK;COL4A2;COL4A1;COL4A4;SELENOP;COL4A6;RAPGEF1;ITGA5;TLN1;SOS1;DOCK1;MET;VCL;BIRC2;BLK;LAMA5;SHC3;ROCK1;LAMA2;SRC;LAMA4;LAMA3;PDGFB;PDGFA;PIK3R1;THBS2;PIK3R5;RAP1B;CDC42;MAPK7;PDGFD;PDGFC;PAK7;SPP1;FLNA;PAK6;FYN;PAK2;FARP2;JUN;CAV2;TNK2;CAV1;VEGFC;VEGFD;LAMB1;IGF1;PTK2;COL1A1;COL3A1;COL1A2;COL5A1;COL5A2;BCL2;ZYX;BCAR1
PluriNetWork WP1763	122/292	2.36644930353009e-09	2.03514640103588e-07	0	0	2.07142575428909	41.1423997957241	ATF2;INS1;RIF1;IRS1;EHMT2;JADE1;RBPJ;FGF5;NPPB;SALL1;ZFP281;CCND1;CDH1;SALL3;DPYSL2;TRIM24;PIM1;EP300;ACVR1;TLE4;USP7;MAP2K1;ZFP219;IGFBP3;WNT5A;FBXO15;LIFR;PIAS2;EWSR1;IL6ST;KPNB1;KMT2D;CTBP2;CTBP1;NEDD4L;EP400;FZD1;TFAP2A;SMAD2;SMAD1;CREBBP;SMAD4;TGFB1;SMAD3;POU2F1;GADD45A;NR2F1;NR2F2;NFKB1;NR2F6;THAP11;SMAD7;BMP4;OCLN;P4HA1;SP1;ID1;MDM2;GRSF1;OGT;EZH1;FGFR1;GSK3B;KDM5C;PTPRS;BMPR2;PTEN;CABIN1;ZIC2;ZIC3;SIN3A;DNMT3B;JARID2;JAK1;KDM6A;NCOA1;KDM6B;HELLS;DNMT3A;ATRX;TFEB;NME2;AXIN1;TET1;TERF2;ETV5;TGFBR1;RBL2;HCK;CREB1;MTF2;SGK1;SOS1;CD44;HDAC4;KDM3A;HDAC2;ROCK1;SATB1;UHRF1;LEF1;LRP5;RELB;RBBP4;LEO1;SPP1;MEF2D;ZFP143;MAPK3;TCF7L1;KDM4C;STAT3;MBD2;WWP2;PTPN11;ARID3B;SSRP1;KLF4;MTOR;GATAD2A;REST;APC
TGF Beta Signaling Pathway WP113	32/52	6.79287629128934e-08	3.89458240700589e-06	0	0	4.58422786281728	75.6617928426182	ZFP423;ZFYVE9;SERPINE1;LEF1;LTBP1;SPP1;EP300;ITGB6;SKIL;JAK1;MAPK3;SMAD2;SMAD1;JUN;CREBBP;SMAD4;TGFB1;SMAD3;STAT1;FST;NOG;STAT3;INHBA;SMAD6;TGFBR1;RUNX2;NFKB1;SMAD7;TGFBR3;BMP4;ZEB2;BAMBI
Wnt Signaling Pathway NetPath WP539	52/108	5.80656304912334e-07	2.49682211112303e-05	0	0	2.66433712173841	38.2575013167334	GSK3B;FHL2;ARRB2;FRAT2;SALL1;CCND1;CDH1;EP300;SOX9;BTRC;MAP3K7;ANKRD6;PRKCB;MAGI3;WNT5A;AXIN1;PRKCA;RUNX2;RHOA;SFRP1;DAAM1;MAP1B;TAX1BP3;CAMK2D;CTBP2;CTBP1;LEF1;CUL1;LRP5;LRP6;CAMK2G;MARK2;WNT4;MAPK3;TFAP2A;FZD1;SMAD4;JUN;SMAD3;FZD2;FZD5;FZD7;FZD6;FZD8;HIPK2;DLG1;DAB2;VANGL2;DLG2;APC;CDK1;TCF4
Integrin-mediated Cell Adhesion WP6	48/100	1.73860218670919e-06	5.9807915222796e-05	0	0	2.64723032069971	35.1087044623127	MYLK2;SHC3;ITGB5;ROCK1;SRC;ITGB3;ARAF;RAP1B;CDC42;MAPK7;CAPNS1;AKT2;CAPN2;ITGB8;PAK6;ITGAV;ITGB7;CSK;FYN;ITGB6;PAK2;TNS1;MAP2K3;VAV3;GIT2;MAP2K1;MAP2K2;ITGA4;CAV2;ITGA3;ACTN1;CAV1;ITGA1;SORBS1;PTK2;VAV2;MAPK10;CAPN11;SELENOP;RAPGEF1;ZYX;ITGA5;TLN1;ARHGEF7;SOS1;DOCK1;VCL;BCAR1
MicroRNAs in Cardiomyocyte Hypertrophy WP1560	41/82	2.63141516883857e-06	7.54339015067058e-05	0	0	2.86607142857143	36.823253526815	HDAC4;GSK3B;CAMK2D;ROCK1;LRP5;PIK3R3;PIK3CB;PIK3R1;FGF2;HDAC9;MYLK3;PIK3CG;IGF1R;MYLK;LRP6;NPPB;MAPK7;AKT2;PRKG1;MAPK3;MAP2K3;FZD1;EIF2B5;MAP2K4;EDN1;MAP2K1;MAP2K2;TGFB1;FZD2;MYEF2;PRKCB;WNT5A;STAT3;NRG1;IGF1;RHOA;NFKB1;MTOR;IL6ST;MAP3K14;FGFR2
Primary Focal Segmental Glomerulosclerosis FSGS WP2573	37/72	3.48802226609088e-06	8.57056899668044e-05	0	0	3.02872658760944	38.0595103511842	LAMA5;CDKN1B;PCNA;ITGB3;PTPRO;LRP5;MKI67;LRP6;CDH2;YWHAQ;CTSL;PODXL;DAG1;PLCE1;ITGAV;FYN;NCK1;KIRREL3;TGFB1;JAG1;MME;ITGA3;PARVA;ACTN4;PTK2;CD2AP;MYO1E;COL4A4;COL4A3;FAT1;MYH9;VIM;TLN1;UTRN;TLR4;VCL;LIMS1
ESC Pluripotency Pathways WP339	53/118	6.34270514260378e-06	0.000136368160565981	0	0	2.33859922178988	27.9888353713206	GSK3B;BMPR2;ARAF;PTEN;FGF1;FGF2;FGF5;FGF9;AKT2;JAK1;ACVR1;PDGFRB;MAP2K3;MAP2K1;MAP2K2;WNT5A;NOG;AXIN1;LIFR;HNF1A;SELENOP;IL6ST;SOS1;PDGFB;LRP5;PDGFA;LRP6;MAPK7;WNT4;FZD1;SMAD1;FZD3;SMAD4;JUN;FZD2;FZD5;FZD7;WNT7B;FZD6;STAT3;FZD8;PTPN11;SMAD6;MTOR;SMAD7;BMP4;FGF15;FGF14;APC;MDM2;FGFR4;FGFR2;FGFR1
Regulation of Actin Cytoskeleton WP523	63/152	2.18108109945039e-05	0.000416828832339409	0	0	2.03086930810171	21.7975331066043	CHRM3;INS1;PIK3CB;FGF1;PIK3C2A;FGF2;ACTB;PIK3CG;MYLK;FGF5;FGF9;TMSB4X;BDKRB2;PIP4K2A;PIP4K2B;GIT1;PDGFRB;MAP2K1;MAP2K2;PPP1R12A;ACTN1;ITGA1;RRAS2;RHOA;MRAS;PIK3C3;ARHGEF7;SOS1;DOCK1;VCL;ROCK1;PDGFB;PDGFA;PIK3R3;PIK3R1;IQGAP1;PIK3R5;CDC42;GNA13;GNA12;PAK7;PIP5K1A;PAK6;CSK;MYH10;PAK2;WASF2;MAPK3;GSN;RDX;MSN;GNG12;PTK2;SSH1;MOS;FGF15;DIAPH3;FGF14;APC;FGFR4;FGFR2;BCAR1;FGFR1
EGFR1 Signaling Pathway WP572	70/178	6.13446398337779e-05	0.00104421789737097	0	0	1.85967785079634	18.0370206092525	USP6NL;HIP1;CTNND1;ARAF;CBLB;PIK3CB;WASL;PIK3CG;ELK4;GJA1;GRB14;SIN3A;RPS6KA2;RPS6KA1;NCK2;MAP3K4;GIT1;JAK1;NCK1;MAP2K3;VAV3;MAP2K1;MAP2K2;PRKCB;DUSP1;SH2D3C;PRKCA;GAB2;VAV2;EEF1A1;CREB1;PRKAR1A;RASA1;PRKD1;SOS1;PLEC;RALB;SRC;PIK3R3;ASAP1;PIK3R1;PLD1;CBL;FOXO1;CDC42;SH3BGRL;MAPK7;HIST1H3G;CSK;MAPK3;SMAD2;JUN;SMAD3;JUND;CAV2;STAT1;TNK2;CAV1;STAT3;PTPN11;PTPN12;ITCH;WNK1;SP1;ABI1;SPRY2;PKN2;MAP3K14;PTPN5;BCAR1
Wnt Signaling Pathway and Pluripotency WP723	43/97	6.6781377157446e-05	0.00104421789737097	0	0	2.28111830276879	21.9308682264256	GSK3B;CTBP2;CTBP1;CTNND1;LEF1;LRP5;PPP2R2A;LRP6;CCND3;CCND2;CCND1;PPP2R1B;PPP2R5E;EP300;MAP3K7;LDLR;WNT4;FZD1;CREBBP;FZD3;JUN;TCF7L1;PRKCH;FZD2;FZD5;PRKCB;PRKCE;FZD7;WNT7B;WNT5A;FZD6;AXIN1;FZD8;PRKCA;HNF1A;FBXW2;RHOA;MAPK10;APC;TCF4;PRKD1;CD44;PAFAH1B1
Alpha6-Beta4 Integrin Signaling Pathway WP488	32/67	0.00010016126928261	0.00143564485971741	0	0	2.6169014864229	24.0983365509674	LAMA5;LAMA2;IRS1;SRC;LAMA3;PIK3R3;LAMC2;IRS2;PIK3CB;PIK3R1;NTN1;PIK3CG;CLCA2;CLCA1;SFN;FYN;EIF4E;YWHAH;DSP;SMAD2;SMAD3;DST;PRKCA;LAMB1;YWHAZ;RHOA;MTOR;PTK2;EIF6;VIM;MET;PLEC
MAPK signaling pathway WP493	62/159	0.000206518756286221	0.00265901934789071	0	0	1.83244358628671	15.5485024772049	ATF2;ARRB2;CASP7;DUSP10;CASP6;AKT2;CASP2;MAP3K7;MAP3K4;MAP3K5;PDGFRB;DUSP4;MAP2K4;DUSP5;MAP2K1;PRKCH;MAP2K2;PRKCB;DUSP1;MINK1;TRAF2;DUSP6;TGFBR1;TMEM37;PPM1A;PPM1B;MRAS;TRAF6;RASA1;RASA2;MAPT;ATF4;SRF;PDGFB;RASGRP1;STK3;RAP1B;CDC42;MAPK7;GNA12;MAP3K20;FLNA;PAK2;MAP4K3;MAPK3;HSPA8;TGFB2;JUN;TGFB1;JUND;GADD45A;BDNF;NFKB1;MOS;MAPK10;NR4A1;PPP5C;FASL;TAOK1;NF1;MAP3K14;PTPN5
Myometrial Relaxation and Contraction Pathways WP385	60/153	0.000216431807386453	0.00265901934789071	0	0	1.84938695223192	15.6055617783432	ATF2;MYLK2;OXTR;CRCP;OXT;ARRB2;GABPB1;ACTB;ETS2;SLC8A1;RYR3;GJA1;YWHAQ;PDE4B;PRKACB;RGS6;YWHAG;RGS7;YWHAH;PRKCH;PRKCB;GSTO1;IGFBP3;PRKCE;PDE4D;IGFBP2;PRKCA;DGKZ;YWHAZ;MYL4;ADCY9;CREB1;PRKAR1A;PRKD1;ATF4;RGS17;CAMK2D;RAMP3;ATF6B;LPAR1;ITPR1;ITPR2;ADCY3;ADCY8;ADCY6;GRK5;CALD1;PRKAR2B;PRKAR2A;SFN;CAMK2G;JUN;GNG12;NFKB1;IL6;SP1;GNAQ;MAFF;GNB5;PKIG
Wnt Signaling Pathway WP403	28/60	0.000431701461523002	0.00495017675879709	0	0	2.50302516940949	19.3928790105193	GSK3B;CCND3;CCND2;CCND1;PPP2R5E;LDLR;WNT4;FZD1;JUN;FZD3;PRKCH;FZD2;FZD5;PRKCB;PRKCE;FZD7;WNT7B;WNT5A;FZD6;AXIN1;FZD8;PRKCA;RHOA;FBXW2;MAPK10;APC;PRKD1;PAFAH1B1
IL-7 Signaling Pathway WP297	22/44	0.000537543787515508	0.00577859571579171	0	0	2.85921485205956	21.5255999748138	BLK;LYN;GSK3B;MAP2K1;MAP2K2;IRS1;STAT1;STAT3;IRS2;CBLB;PIK3R1;STAM;CBL;FOXO3;FOXO1;CCND2;CDK4;FYN;SOS1;STAM2;MAPK3;JAK1
IL-2 Signaling Pathway WP450	33/76	0.000706120240193904	0.00663162234008499	0	0	2.19583558680368	15.9323792137477	IRS1;IRS2;PIK3CB;YBX1;PIK3R1;NR3C1;FOXO3;CBL;ETS1;ETS2;PIK3CG;FYN;EIF4E;JAK1;MAPK3;LYN;MAP2K1;MAP2K2;STAT1;STAT3;PTPN11;GAB2;NMI;STAM;IL2;NFKB1;MTOR;CREB1;BCL2;SOS1;PLCB1;STAM2;ITM2B
Splicing factor NOVA regulated synaptic proteins WP1983	21/42	0.00071507104451175	0.00663162234008499	0	0	2.85885537509667	20.7070572943043	NTNG1;CADM1;EPB41;CAV2;APLP2;CLSTN1;CASK;ANK3;ATP2B1;EFNA5;GPHN;PLCB4;SNW1;CDH2;EPB41L1;EPB41L2;MAP4;STX2;NEO1;CAMK2G;CLASP1
Adipogenesis genes WP447	52/134	0.000732562932916365	0.00663162234008499	0	0	1.81634018246426	13.1120894948695	INS1;IRS1;SERPINE1;IRS2;NR3C1;NAMPT;NCOA1;TLE3;MBNL1;EBF1;LIFR;HNF1A;NCOR2;RBL2;CREB1;RARA;TRIB3;PPARG;PLIN2;IL6ST;CEBPD;GATA2;GM45929;FOXO1;ZMPSTE24;RXRA;FRZB;LMNA;NRIP1;E2F1;PPARGC1A;MEF2D;FZD1;WWTR1;EGR2;TGFB1;SMAD3;GADD45A;STAT1;STAT3;NR2F1;HMGA1;NSG1;IGF1;BMP4;BMP3;KLF7;IL6;KLF6;SP1;ID3;LPIN1
Neural Crest Differentiation WP2074	41/101	0.000913697972167074	0.00785780256063683	0	0	1.95596208592133	13.6878431900899	NOTCH2;HDAC4;NOTCH3;GSK3B;HDAC2;CTBP2;HDAC11;RBPJ;HDAC8;FGF2;ETS1;HDAC9;HDAC6;CDH7;CDH6;CDH2;CDH1;ZIC1;MBP;HES1;SOX9;SOX5;TFAP2A;TFAP2B;SMAD1;FZD3;TCF7L1;MSX2;MSX3;AXIN1;PAX3;ZIC5;NFKB1;BMP4;FGF15;LHX2;ID1;SNAI1;TCF4;FGFR2;FGFR1
Focal Adhesion-PI3K-Akt-mTOR-signaling pathway WP2841	109/324	0.00118373512848699	0.00969535438570296	0	0	1.45511499826176	9.80613707598651	ATF2;INS1;CSF1;IRS1;TNC;IRS2;FGF1;FGF2;IGF1R;PPP2R1B;FGF9;CREB3L4;CREB3L1;AKT2;CREB3L2;KDR;PDGFRB;RAB2A;MAP2K1;MAP2K2;COL4A2;COL4A1;COL4A4;DDIT4;COL4A6;EPHA2;ATF4;IFNAR1;PFKFB2;PDGFB;LPAR1;IL4RA;PDGFA;PIK3R1;FOXO3;EFNA5;FOXO1;PIK3R5;PDGFD;PDGFC;PPARGC1A;IGF1;GNG12;PTK2;IL2;COL1A1;FGF15;COL1A2;FGF14;COL5A1;KITL;RHEB;COL5A2;MDM2;FGFR4;FGFR2;FGFR1;GSK3B;CDKN1B;FLT1;ITGB5;ITGB3;PTEN;SLC2A3;LAMC2;PIK3CB;PIK3C2A;ELAVL1;PIK3CG;RPTOR;GHR;PPP2R5E;MLST8;ITGB8;ITGAV;ITGB7;ITGB6;JAK1;ITGA4;ITGA3;PPP2R5A;TBC1D1;CREB1;IL3RA;ITGA5;SOS1;MET;CREB5;PHLPP2;LAMA5;PRKAA1;PHLPP1;ATF6B;LAMA2;LAMA4;LAMA3;IL6RA;THBS2;SPP1;EIF4E;MAPK3;ANGPT1;VEGFC;VEGFD;LAMB1;PPP2R3A;MTOR;RAB10;COL3A1
Delta-Notch Signaling Pathway WP265	34/83	0.00200493823599593	0.0156749716632409	0	0	1.98492826089536	12.3306562635133	NOTCH2;APP;GSK3B;NOTCH3;CNTF;HDAC2;FHL1;LEF1;CUL1;PSEN2;PIK3R1;RBPJ;LFNG;NCSTN;SIN3A;EP300;HES1;HIVEP3;MAPK3;SPEN;SMAD1;JUN;SMAD4;TLE1;SMAD3;JAG1;FBXW7;STAT3;RBX1;NCOR2;ITCH;SNW1;MAML3;ZFPM1
Insulin Signaling WP65	58/159	0.00215036951173085	0.0159078115825848	0	0	1.64460169483355	10.1013337020869	GSK3B;ARF1;IRS1;PTEN;CBLB;PIK3CB;PIK3C2A;PIK3CG;IGF1R;RPS6KA4;GRB14;AKT2;RPS6KA2;RPS6KA1;MAP3K9;MAP3K7;MAP3K4;MAP3K5;MAP2K3;MAP2K4;MAP2K1;PRKCH;MAP2K2;PRKCB;MINK1;PRKCA;RHOJ;RAPGEF1;TRIB3;PIK3C3;SGK1;SOS1;RHOQ;ARF6;PRKAA1;SHC3;SRF;PIK3R3;PIK3R1;FOXO3;CBL;FOXO1;CYTH3;MAPK7;MAP4K5;EIF4E;MAP4K3;MAPK3;EGR1;JUN;PTPN11;SORBS1;MTOR;ARHGAP33;MAPK10;MYO1C;RHEB;MAP3K14
Dysregulated miRNA Targeting in Insulin/PI3K-AKT Signaling WP3855	14/26	0.00224850115080474	0.0159078115825848	0	0	3.33285061466177	20.3220280935112	CDKN1B;PIK3R3;PIK3R1;MTOR;COL1A1;COL3A1;CCND2;COL1A2;COL4A2;RHEB;PRKAR2A;BCL2;SOS1;MAPK3
IL-6 signaling Pathway WP387	39/99	0.00231218191607337	0.0159078115825848	0	0	1.8598273185875	11.2883402841671	GSK3B;PPP2R2A;IL6RA;PIK3R1;FOXO3;FOXO1;PPP2R1B;PPP2R5E;RPS6KA2;EP300;FYN;MAP3K7;EIF4E;MAP3K4;JAK1;MAPK3;LYN;NCOA1;MAP2K4;MAP2K1;CREBBP;JUN;MAP2K2;STAT1;STAT3;PPP2R5A;PTPN11;HNF1A;GAB2;PPP2R3A;NFKB1;PTK2;HCK;IL6;TEC;MAPT;IL6ST;SGK1;SOS1
G1 to S cell cycle control WP413	26/61	0.00340434378359773	0.0209862368862449	0	0	2.12376344383312	12.0687170621115	CDKN1B;PCNA;CCNH;PKMYT1;ORC5;CCND3;CCND2;CCND1;ORC3;E2F1;E2F2;E2F3;E2F6;CDKN2C;GADD45A;CCNA1;CDK6;CDK4;POLE2;RPA3;MCM3;CDK1;MDM2;ATM;MCM6;MNAT1
Kit Receptor Signaling Pathway WP407	28/67	0.00341636414427242	0.0209862368862449	0	0	2.05279122297515	11.6581675919634	SRC;CBLB;PIK3R1;CBL;PIK3CG;SPRED2;SPRED1;RPS6KA1;PLCE1;EP300;FYN;SOCS6;MPDZ;SOCS5;LYN;MAP2K1;PRKCB;STAT1;STAT3;PRKCA;PTPN11;VAV2;HCK;TEC;KITL;RASA1;GRAP;SOS1
p53 signaling WP2902	28/67	0.00341636414427242	0.0209862368862449	0	0	2.05279122297515	11.6581675919634	CD82;EI24;SERPINE1;PTEN;RCHY1;PPM1D;CCND3;CCND2;CCND1;SESN3;ZMAT3;CHEK2;SESN1;SESN2;SFN;RRM2;GADD45A;IGFBP3;IGF1;GADD45G;CDK6;CDK4;CCNG1;CDK1;MDM2;CYCS;ATM;MDM4
Spinal Cord Injury WP2432	38/99	0.00440734682914227	0.0261401260211197	0	0	1.78196562306212	9.66624115367854	BTG2;XYLT1;CXCL1;NTN1;RTN4;EFNB2;GJA1;CCND1;PLXNA2;E2F1;SLIT1;CCL2;MBP;SLIT3;SOX9;SLIT2;MAPK3;EGR1;TGFB1;GADD45A;BDNF;PRKCA;IL2;RHOA;BCAN;NR4A1;IL6;VCAN;GDNF;COL4A1;PTPRA;CDK4;CCNG1;CDK1;NOX4;CD47;VIM;TLR4
Id Signaling Pathway WP512	22/51	0.00570807977781318	0.0327263240594622	0	0	2.16803259557612	11.1997801878408	TCF7L2;SMAD1;SMAD4;BMPR2;FLT1;SMAD3;IRS1;TCF12;IGF1;BMP6;NFKB1;ELK3;IGF1R;ELK4;RBL2;PAX8;ID2;ID1;KDR;ID3;HES1;MSC
