Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
Focal Adhesion (GO:0005925)	109/387	6.43809679262198e-13	2.24376501931232e-10	0	0	2.40732728706005	67.576982789702	PRAG1;ARPC5L;PVR;ACTB;PPP1CB;GJA1;CDH2;PLAU;CFL1;CAPN2;CPNE3;TNS3;TNS2;TLE2;TPM4;ACTN1;ADAM10;ADAM17;TLN2;PHLDB2;VCL;CD151;PXN;CD99L2;IQGAP1;HACD3;LPP;CNN3;EFNB2;FLRT2;RRAS;TSPAN9;EPB41L2;FZD1;VASP;HSPA9;ARL14EP;FZD2;JUP;CAV2;MSN;PARVA;ARPC5;CORO2B;ARHGAP24;PPFIBP1;ITGA11;FAT1;FERMT2;FLT1;ITGB5;ARPC1B;RPLP1;FHL1;DOCK7;RND3;TRIOBP;SYNE2;AKAP12;LASP1;CSRP2;ITGAV;ITGB6;JAK2;GIT1;YWHAG;JAK1;ANXA1;DST;ANXA5;ITGA1;IL16;REXO2;YWHAZ;SHROOM4;RHOB;ENAH;HCK;RPL37A;ITGA8;CDH13;MYH9;ITGA5;MAPRE1;MAPRE2;CD44;ARF6;PLEC;RALA;AHNAK;SRC;STX16;CXCR4;NEDD9;EGFR;LIMA1;XIRP1;CTNNA1;FLNA;MAPK1;CLASP1;CLASP2;SVIL;SPRY4;RAB10;MARCKS;CD9;VIM;LIMS1
Cell-Substrate Junction (GO:0030055)	110/395	1.12188250965616e-12	2.24376501931232e-10	0	0	2.36962216174084	65.2025542772456	PRAG1;ARPC5L;PVR;ACTB;PPP1CB;GJA1;CDH2;PLAU;CFL1;CAPN2;CPNE3;TNS3;TNS2;TLE2;TPM4;ACTN1;ADAM10;ADAM17;TLN2;PHLDB2;VCL;CD151;PXN;CD99L2;IQGAP1;HACD3;LPP;CNN3;EFNB2;FLRT2;RRAS;TSPAN9;EPB41L2;FZD1;VASP;HSPA9;ARL14EP;FZD2;JUP;CAV2;MSN;PARVA;ARPC5;CORO2B;ARHGAP24;PPFIBP1;ITGA11;FAT1;FERMT2;FLT1;ITGB5;ARPC1B;RPLP1;FHL1;DOCK7;RND3;TRIOBP;SYNE2;AKAP12;LASP1;CSRP2;ITGAV;ITGB6;JAK2;GIT1;YWHAG;JAK1;ANXA1;DST;ANXA5;ITGA1;IL16;REXO2;YWHAZ;SHROOM4;RHOB;ENAH;HCK;RPL37A;ITGA8;CDH13;MYH9;ITGA5;MAPRE1;MAPRE2;CD44;ARF6;PLEC;RALA;AHNAK;SRC;STX16;CXCR4;NEDD9;EGFR;LIMA1;XIRP1;CTNNA1;FLNA;MAPK1;CLASP1;CLASP2;SVIL;SPRY4;ERBIN;RAB10;MARCKS;CD9;VIM;LIMS1
Cell-Cell Junction (GO:0005911)	84/299	3.25162522936771e-10	4.33550030582362e-08	0	0	2.38604651162791	52.1272327528051	PATJ;BMPR2;WDR1;PTPRM;PTPRJ;PTPRK;PARK7;PKD2;PVR;RND1;GJA1;CDH2;TNKS1BP1;KIRREL3;MAGI1;PRKCI;CXADR;ANXA1;ANXA2;ACTN1;HEG1;TMOD3;SHROOM2;SHROOM3;FRS2;FRMD4A;FRMD4B;SHROOM1;SHROOM4;PARD3B;CLDN4;ADAM17;FRMD5;RAP2B;SAPCD2;PARD3;CDC42EP4;PKP2;CDH13;ITGA5;PLPP3;AJUBA;LLGL1;JCAD;VCL;CDH18;SPTBN4;NOTCH1;AHNAK;FBF1;PXN;RASIP1;MTDH;CNN3;RAP1B;PARD6B;FLRT2;CCDC85C;CDH22;CTNNA1;FLNA;PDLIM5;MPP1;CDSN;JAG1;JUP;MSN;KLHL24;BAIAP2;MAPK15;PPP1CA;SMAD7;RAB10;DES;GJB3;DLG4;FAT1;PKN2;TEK;NECTIN3;FERMT2;ADGRL3;LIMS1;NECTIN1
Adherens Junction (GO:0005912)	51/150	8.87683559289926e-10	8.87683559289926e-08	0	0	3.13039485766758	65.2449599020416	BMPR2;PTPRM;PARK7;PVR;RND1;CDH2;TNKS1BP1;MAGI1;CXADR;ANXA1;ANXA2;TMOD3;SHROOM2;SHROOM3;FRMD4A;FRS2;FRMD4B;SHROOM1;SHROOM4;PARD3B;FRMD5;PARD3;CDC42EP4;PKP2;CDH13;KIFC3;PLPP3;AJUBA;JCAD;LLGL1;VCL;CDH18;SPTBN4;NOTCH1;CNN3;CCDC85C;CDH22;CTNNA1;PDLIM5;JAG1;JUP;MSN;KLHL24;BAIAP2;SMAD7;PPP1CA;RAB10;DLG4;NECTIN3;FERMT2;NECTIN1
Actin Cytoskeleton (GO:0015629)	88/327	1.33004864674897e-09	1.06403891739918e-07	0	0	2.24871211937988	45.9592914485583	CLIC5;FLT1;WDR1;ARPC1B;ARPC1A;SLC2A1;ACTB;TRIOBP;RND1;AKAP13;LASP1;SIPA1L1;SH3PXD2A;CDH2;SH3PXD2B;CFL1;CAPN2;SYNPO;TMOD1;ANXA1;TPM4;ACTN1;TPM2;DENND2A;TPM1;SHROOM2;SHROOM3;SHROOM1;MTSS1;SHROOM4;CD2AP;CTTNBP2NL;HCK;ADAM17;BIN1;CDC42EP4;CDC42EP3;SPECC1L;MYH9;ANG;TLN2;ALDOA;EPHA3;LLGL1;RHOQ;GAS7;MACF1;SPTBN4;NOTCH3;PLEKHH2;AHNAK;ACTL7B;ASAP1;IQGAP1;IQGAP2;ADCY8;NTN1;CNN3;LIMA1;NEURL1B;ABLIM1;ABLIM3;CALD1;MYO6;FLNA;ABL2;PDLIM5;SPTBN1;VASP;SVIL;MYO5A;PARVA;SORBS2;ARPC5;BAIAP2;CORO2B;TTC17;MYO1D;DIAPH1;FER;MARCKS;DIAPH3;MYO1C;AXL;APEX1;MYO5C;SPRY2;TEK
Cytoskeleton (GO:0005856)	136/599	1.32090298617887e-08	8.8060199078591e-07	0	0	1.80140388768898	32.6817271325238	FHOD3;RIPOR2;ACTB;PPP2R1A;RUSC1;ZC3H12A;CFL1;ARHGDIB;KIFAP3;SYNPO;CDK5RAP2;PRKCI;TPM4;TPM2;TPM1;DYRK1A;ANK3;EML1;CD2AP;NISCH;SHTN1;FRMD5;ADAM17;BIN1;KATNAL2;MAP7D1;SPECC1L;PHIP;TLN2;PHLDB2;EPHA3;LLGL1;VCL;EXD2;NOTCH3;MACF1;SHMT2;ARL3;ACTL7B;IQGAP1;IQGAP2;CNN3;NUAK1;ATXN7;CALD1;EPB41L2;MYO6;ABL1;ABL2;FAM83D;SPTBN1;VASP;DTNA;JUP;PCIF1;TEX35;MYO5A;MSN;PARVA;ARPC5;TBCA;CORO2B;SMARCA2;EHD2;ADCY10;MFHAS1;TPX2;FER;SESTD1;DLG4;MYO5C;CCSER2;SNAP25;CLIC5;FLT1;MTCL1;ARPC1B;ARPC1A;KRT20;TRIOBP;SYNE2;RND1;AKAP13;HINT1;SIPA1L1;DST;DENND2A;SHROOM2;SHROOM3;NAV1;RHOF;MTSS1;PJA2;SHROOM4;CTTNBP2NL;TUBB2B;CDC42EP4;CDC42EP3;ITPKA;MYH9;ANG;KIFC3;ALDOA;MAPRE2;PFDN5;PLEC;KANK1;AHNAK;ROCK2;MVP;NOL9;ADCY8;NTN1;NEURL1B;LIMA1;ABLIM1;ABLIM3;FLNA;MAPK1;PDLIM5;SVIL;SPAG6;MID1IP1;SORBS2;BAIAP2;KLF4;TTC17;MYO1D;MARCKS;MYO1C;DES;AXL;APEX1;SPRY2;PKN2;VIM
Intracellular Membrane-Bounded Organelle (GO:0043231)	821/5175	9.61887724414126e-05	0.00549650128236643	0	0	1.1851160050517	10.9613724861477	ATF2;SPI1;TFRC;PWWP2B;ITSN1;RBPJ;ALKBH2;SCP2;ZC3H12A;PRKACB;MEF2C;RBFOX2;FNBP1;RFX3;PRKAB1;HDHD3;RUFY1;EID2;CLDN9;CDIP1;ATF5;ATF6;EXD2;MEAF6;SHMT2;CRABP1;MEPCE;ACTL7B;SLCO5A1;GATA3;IQGAP1;HSPH1;RNF216;RDH10;MYO6;HAO1;PPARGC1B;ABCA1;LYN;JUN;HACE1;JUP;ABCA4;TEX35;NR2F2;PBX1;FAM111A;MLLT10;AGO2;FAT1;PKIG;FERMT2;RNF220;HEXA;MED13;MECOM;HEY1;IKBKG;JAK2;JAK1;DUSP5;SS18;DUSP2;SPHK1;TEX10;MYOF;SLC39A11;FOS;MED27;GPRC5B;GPRC5A;BDH1;RAPGEF1;ERGIC1;DLST;EGFR;FOXS1;BTAF1;SNX27;LEO1;STAT4;AGR3;FLNA;RPS27A;SRSF10;SRSF11;NKTR;EGLN1;MBD4;SLC16A1;STAT3;TARBP1;GATAD2A;SKI;PSMC6;SNX16;FABP5;PSMC3;APEX1;SNX14;GID8;SNX15;MPLKIP;PKN2;CENPP;MYLK2;MTCH2;NAB1;NAB2;GOLIM4;ZBTB20;HIKESHI;MSI2;RORB;OSBP;BNIP3L;UBE2E3;UBE2E2;PRPF4B;TNNI3K;FOXP4;FBXO11;CDC25A;FOXP1;MAF;MAPKAPK3;SLC9A6;PKP2;ANAPC5;RAD54L2;AJUBA;KHDRBS1;ARL3;GLIS3;FOXO3;FHIT;FOXO1;SAV1;ATXN3;ATXN7;SMYD2;AP4S1;SMYD3;IP6K1;NEK7;ARPC5;FBXO32;MCC;AICDA;PTPRE;TFCP2;NFE2L2;SLC25A1;HSP90AB1;NXT1;PPP1R13B;NUMA1;CELF2;LRRK2;AKAP8L;FHL1;CELF4;PIK3CB;MB;TRIM68;PMEPA1;HMG20A;DNM1L;YAF2;DST;KSR1;VEZF1;FOXL1;RAD23B;MMS22L;ARL4A;ETF1;TOP1;SPACA9;BIRC3;PRKAA1;TRIM52;SRF;PRCP;MLLT3;RCHY1;CXXC5;PPM1D;PARD6B;CDC45;U2AF2;E2F1;E2F5;CNNM2;HNRNPA3;FEM1B;CNBP;FOXJ2;HIP1R;CDC5L;MYO1C;TRIM39;APLF;CPNE7;LDLRAD4;ACTB;NUDT4;HERC2;TRIM24;EPC1;CPNE3;TRIM27;TMPO;NSMCE2;TALDO1;CSNK1E;TRIB3;KIF20B;TRIB2;PAXIP1;EPAS1;FOXG1;LPAR4;PTTG1IP;HIVEP1;HIVEP3;HIVEP2;RAB11FIP3;N4BP1;DECR1;EGR1;WWTR1;XBP1;SLC10A7;SMARCA5;NTAN1;SMARCA2;WAPL;ID1;FBXL3;GRB2;ARMC12;CALM2;CCDC124;PTPRK;BABAM2;CTSK;CHAMP1;DHX15;HTATIP2;ZHX2;CACYBP;SREBF2;TOX3;MN1;NCOA7;ATP23;STX16;DOT1L;NEDD9;XIAP;PRKX;PCNP;PTPA;EXOSC6;NFIL3;SERTAD2;EXOSC8;HSF1;MSX1;GPC6;SPRYD4;CAVIN1;ERCC6L2;MOK;APTX;YIF1A;PPP1CA;NUDT9;SH3RF2;PER1;RIT2;TFAP4;CCNG2;NEDD4;TTC3;TCEA1;SCARB1;CRTC3;CRTC1;JADE1;PEBP1;PRDM2;PRDM1;UBE2Z;ETS1;ETS2;IGF1R;KLHL31;CCND3;RGS3;CCND1;BORCS5;ADAM10;UBE2V2;PLAA;UBE2V1;PPID;DDX6;CACNA1A;ACACB;CCNB1;CAMTA1;CAMTA2;MFAP3L;ZFHX3;ZFHX2;DENND4C;PCIF1;HMGA2;MSN;HOOK2;NABP2;TCF4;PHF19;PICALM;RERE;CHD7;DDX42;PSIP1;CHD3;HMGB1;CHD2;RERG;LMNB1;RND1;UBE2Q2;MYBL1;TGIF2;GLRX3;EED;PLA2G4A;ETV4;YWHAZ;ETV5;SHROOM4;TTI2;EPN2;ETV6;EEF1G;ELF1;CREB1;VGF;ATP6V1B2;PTGES3L;RBM20;NCBP3;CREB5;LAMA5;NAA20;MVP;TAF9;MAT2B;RNF2;CLN6;ATAD2B;TNKS2;TDG;MXI1;MARVELD3;SMNDC1;TRDMT1;ATF7IP;NAA10;BNIP3;EYA4;DDX31;ATP2B1;MAPK14;S100B;MAPK15;USF1;RPIA;ACKR3;QRICH1;TAF2;TAF1;MAML1;MYT1L;TRRAP;HNRNPU;SMC6;BACH2;ELK3;ZXDA;GJA1;CREB3L1;CREB3L2;ADNP2;AP1S3;DIP2B;IER5;JUNB;IER2;DDX17;MBNL1;PRKCI;DDX11;PRKCD;WDR74;SOX11;FNDC3A;MED4;HCFC1;NISCH;BIN1;TYRO3;MAML3;ASF1B;CTBP2;HSPA4L;NAIF1;MTDH;LDHA;PRDM16;HMOX1;RREB1;NKX2-2;BARD1;CDK17;ARL14EP;NDFIP2;CDK19;NFATC3;IRF2BP2;NFATC1;NR1D2;INO80;PA2G4;FOSL2;HNRNPL;EHD2;FIBP;EHD4;GJB3;HNRNPF;PPT1;SNAI1;MMS19;HBP1;PLCH1;PPT2;CDK13;CDK14;PHF3;DENND1B;BTG2;RARG;ARPC1A;CLTB;FMN1;TCF20;SMG7;PRSS23;SMG5;GLI3;PHF8;GLI2;CSRP2;TRIM7;ADAMTSL3;TMSB4X;ANXA7;TNKS1BP1;AP3S1;TEAD1;BRD2;ANXA1;ANXA2;ANXA4;TET2;TERF1;CDYL2;NCOR2;KAT2B;TUBB2B;ZEB2;ITPKA;NFIX;PHLPP1;AHNAK;RPL10;USP1;BRD4;CDKN2C;YTHDF2;ELP3;WWP2;ELP5;HIPK3;NFIA;NFIB;RFWD3;HYLS1;BRDT;N6AMT1;PHLDB1;ATP8A1;YEATS4;PARK7;PPP1CB;ZFP36;SALL3;CFL1;PAPOLA;CLCC1;MACROD2;NBN;PHLDA1;GTF2I;RAB2A;TLE2;TLE1;RALGAPA1;IGFBP3;IPMK;MAGI2;F2R;DYRK1A;VRK2;TLE6;INIP;RAB30;KAT6B;ERF;PHIP;STAMBP;DGKI;NOTCH1;NOTCH4;ITPR1;ABHD5;AK5;BAG6;HMBOX1;BAG5;BTBD3;NACC2;UBR5;ABL1;SKIL;OSBPL8;CHTOP;OSBPL6;TNK2;TCEANC;BTBD7;ADCY10;LSM8;RCAN1;CDK6;SCCPDH;CDK4;CNOT2;BCL2;PLEKHM1;CDK1;NF1;COPS8;CNOT8;RAB5A;CALCOCO1;MCM7;CPQ;ZC3H4;PTPN22;ADRA1B;SYNE2;DUSP11;SNRNP70;SIN3A;TLK2;WDR5;PHACTR1;ADAMTS9;RFC3;REXO2;PATL2;PTP4A1;PTP4A2;PKM;DUSP21;RPL37A;ANG;CEBPA;MTPN;NUFIP1;WBP2;RNF38;NOCT;VPS53;POLR2G;RBBP6;ASCC3;MLXIP;IRX1;RNGTT;SPAG6;IRX3;PTPN12;PTPN13;PTPN14;PNRC1;RAD52;KLF7;KLF6;KLF5;KLF9;POLR3G;BCOR;TNP1;TNRC6A;CUL4B;TCERG1;PANK3;PANK1;ZMYND8;GOLGA5;PPP2R1A;FTH1;RPS6KA2;SYNPO;GLUL;SOX4;SRRM2;P3H2;RUNX3;RUNX2;SRRM1;RUNX1;RRAGD;VDAC2;CFTR;ANP32A;CSTF3;TSHZ1;TWIST1;MGST2;HNRNPLL;FXR1;STRIP1;NUAK1;RALGDS;RABGAP1L;DTNB;GADD45B;SS18L1;CIDEA;AMMECR1;STAM;TRERF1;GADD45G;TPX2;LACC1;STAG1;CYP2S1;ANP32E;CREBRF;ANP32B;ITM2B;CC2D1B;TENM4;CITED2;MEOX1;HINT1;ZMYM2;ANKRD1;ANKRD6;TFE3;ZDHHC17;MLF2;RHOB;HCK;UGDH;RAD51D;MAPRE3;VGLL2;ALDOA;SGK1;HMX2;VGLL4;VGLL3;AMER1;ZDHHC20;CXCR4;NOL9;NT5C;PURA;LMNA;CTNNA1;METTL5;APBB2;METTL8;PURG;GINS1;SVIL;ARNT2;RYK;NFYC;GBF1;GINS4;ERBIN;SORBS2;RANBP6;PRKRA;AXL;FRA10AC1;CDK5R1;PRAG1;COMT;CWC22;APLP2;TOMM34;ARID5B;KCTD1;RSBN1;TBL1XR1;FIZ1;PRPF8;UBB;PODXL;KLHDC2;SPECC1;CBX7;CBX5;POU2F1;SMAD3;MLKL;SMURF2;CBX3;HSPA4;PTCH1;ASPSCR1;SMAD9;SMAD6;AZIN1;SMAD7;NR4A2;DIAPH1;FER;DIAPH3;NR4A3;JMY;BLMH;FGFR1;KDM5B;THRB;HSPB7;USP34;YBX2;RABEPK;HK2;IRF2BPL;SENP6;CASP7;SIX2;TRPS1;SIX3;NFKBIZ;PDE4A;POLG;KDM6B;KLF10;USP47;CAMK1D;PTGIS;PDE4D;TRNAU1AP;LATS2;OAS3;MYH9;RBMS1;KDM7A;RBMS3;USP13;KDM3A;CAMK2D;USP16;BRAT1;LEF1;LTC4S;TOB2;TOB1;NXF1;RMND5A;FAM120C;ERBB4;FAM120A;NRIP1;S1PR1;MAPK1;GBP2;USP24;KDM4B;TCF7L1;POLN;WTAP;ZFC3H1;NAP1L1;USP28;FMNL3;WEE1;DES;KANSL1;CDK2AP1;AQP11;SPRY2;LPIN1;PAXBP1;LPIN2;SSBP4
Apical Junction Complex (GO:0043296)	30/106	0.000130882592331896	0.0065441296165948	0	0	2.38406525868812	21.3164278416589	PATJ;IGSF5;FBF1;MTDH;PARD6B;CLMP;CCDC85C;MARVELD3;MPDZ;CGNL1;CXADR;JUP;MAGI2;SHROOM2;SHROOM3;FRMD4A;ANK3;FRMD4B;SHROOM1;SHROOM4;PARD3B;CLDN4;RAP2B;SAPCD2;CLDN9;PARD3;PKN2;AMOTL1;KIFC3;NECTIN3
Caveola (GO:0005901)	20/62	0.000255239770957841	0.0113439898203485	0	0	2.8715830478877	23.7574886375011	SCARB1;BMPR2;PTGIS;CAVIN1;SRC;CAV2;LRRK2;PTCH1;F2R;MYOF;CBL;TGFBR2;LRP6;HCK;EHD2;CDH13;MAPK1;SCN5A;JAK2;BMPR1A
Basement Membrane (GO:0005604)	16/46	0.00040024253454886	0.0160097013819544	0	0	3.21389671361502	25.1437276495359	LAMA5;COL15A1;CD151;LAMA2;DST;ERBIN;P3H2;LAMB1;LAMC1;NID1;CCDC80;COL4A1;PXDN;COL4A5;ANG;FBN1
Nucleus (GO:0005634)	706/4487	0.000933111084097571	0.0339313121490026	0	0	1.1605491349034	8.09713541818689	ATF2;SPI1;MAML1;MYT1L;TRRAP;PWWP2B;HNRNPU;SMC6;RBPJ;BACH2;ELK3;ALKBH2;ZXDA;CREB3L1;ZC3H12A;CREB3L2;ADNP2;DIP2B;PRKACB;IER5;JUNB;IER2;DDX17;MBNL1;PRKCI;MEF2C;RBFOX2;DDX11;PRKCD;WDR74;RFX3;SOX11;MED4;PRKAB1;HDHD3;HCFC1;EID2;BIN1;TYRO3;CDIP1;MAML3;ATF5;ATF6;ASF1B;EXD2;CTBP2;MEAF6;SHMT2;CRABP1;MEPCE;ACTL7B;HSPA4L;NAIF1;GATA3;IQGAP1;MTDH;LDHA;HSPH1;RNF216;RDH10;PRDM16;MYO6;HMOX1;RREB1;PPARGC1B;NKX2-2;BARD1;LYN;CDK17;JUN;CDK19;HACE1;JUP;NFATC3;TEX35;IRF2BP2;NFATC1;NR1D2;NR2F2;INO80;PA2G4;PBX1;FOSL2;HNRNPL;FAM111A;EHD2;MLLT10;FIBP;EHD4;HNRNPF;AGO2;FAT1;PPT1;SNAI1;MMS19;HBP1;PKIG;CDK13;CDK14;FERMT2;RNF220;PHF3;BTG2;RARG;ARPC1A;FMN1;TCF20;SMG7;PRSS23;SMG5;GLI3;PHF8;GLI2;MED13;CSRP2;TRIM7;MECOM;HEY1;TMSB4X;ANXA7;TNKS1BP1;IKBKG;JAK2;TEAD1;JAK1;DUSP5;SS18;BRD2;DUSP2;ANXA1;ANXA2;SPHK1;TEX10;ANXA4;SLC39A11;TET2;FOS;MED27;TERF1;CDYL2;NCOR2;KAT2B;TUBB2B;ZEB2;ITPKA;NFIX;AHNAK;RPL10;DLST;EGFR;FOXS1;USP1;LEO1;STAT4;FLNA;RPS27A;SRSF10;SRSF11;NKTR;BRD4;EGLN1;MBD4;CDKN2C;YTHDF2;STAT3;ELP3;WWP2;ELP5;HIPK3;TARBP1;GATAD2A;SKI;PSMC6;NFIA;FABP5;PSMC3;NFIB;APEX1;RFWD3;GID8;MPLKIP;HYLS1;PKN2;CENPP;BRDT;N6AMT1;MYLK2;MTCH2;NAB1;NAB2;ZBTB20;HIKESHI;YEATS4;PARK7;RORB;PPP1CB;ZFP36;SALL3;CFL1;PAPOLA;MACROD2;NBN;PHLDA1;GTF2I;RAB2A;BNIP3L;TLE2;TLE1;RALGAPA1;UBE2E3;IGFBP3;IPMK;MAGI2;DYRK1A;UBE2E2;PRPF4B;VRK2;TNNI3K;FOXP4;FBXO11;CDC25A;TLE6;INIP;FOXP1;MAF;MAPKAPK3;KAT6B;PKP2;ERF;PHIP;ANAPC5;STAMBP;RAD54L2;AJUBA;DGKI;KHDRBS1;NOTCH1;ARL3;NOTCH4;GLIS3;AK5;FOXO3;FHIT;FOXO1;SAV1;BAG6;ATXN3;HMBOX1;BAG5;ATXN7;BTBD3;NACC2;UBR5;SMYD2;ABL1;SMYD3;IP6K1;SKIL;CHTOP;TNK2;NEK7;TCEANC;BTBD7;ARPC5;FBXO32;MCC;AICDA;ADCY10;PTPRE;LSM8;RCAN1;TFCP2;CDK6;SCCPDH;CDK4;CNOT2;BCL2;CDK1;NF1;COPS8;CNOT8;NFE2L2;SLC25A1;CALCOCO1;HSP90AB1;NXT1;PPP1R13B;NUMA1;MCM7;ZC3H4;CELF2;AKAP8L;FHL1;CELF4;PTPN22;PIK3CB;ADRA1B;SYNE2;DUSP11;SNRNP70;MB;SIN3A;TRIM68;TLK2;WDR5;PHACTR1;HMG20A;YAF2;RFC3;DST;VEZF1;FOXL1;REXO2;RAD23B;PATL2;PTP4A1;MMS22L;PTP4A2;ARL4A;PKM;DUSP21;RPL37A;ETF1;ANG;TOP1;SPACA9;BIRC3;CEBPA;MTPN;PRKAA1;TRIM52;NUFIP1;WBP2;SRF;RNF38;MLLT3;RCHY1;CXXC5;PPM1D;PARD6B;CDC45;U2AF2;NOCT;E2F1;POLR2G;RBBP6;ASCC3;MLXIP;IRX1;HNRNPA3;RNGTT;FEM1B;SPAG6;CNBP;IRX3;FOXJ2;CDC5L;PTPN12;PTPN13;PTPN14;PNRC1;RAD52;KLF7;KLF6;MYO1C;TRIM39;APLF;KLF9;POLR3G;BCOR;TNP1;CUL4B;TCERG1;PANK3;PANK1;CPNE7;ZMYND8;ACTB;NUDT4;HERC2;PPP2R1A;FTH1;RPS6KA2;TRIM24;EPC1;CPNE3;TRIM27;SYNPO;GLUL;SOX4;TMPO;SRRM2;NSMCE2;TALDO1;CSNK1E;RUNX3;RUNX2;SRRM1;RUNX1;RRAGD;VDAC2;TRIB3;KIF20B;TRIB2;CFTR;PAXIP1;ANP32A;EPAS1;CSTF3;FOXG1;TSHZ1;TWIST1;PTTG1IP;HNRNPLL;FXR1;STRIP1;NUAK1;HIVEP1;HIVEP3;HIVEP2;RALGDS;N4BP1;DECR1;EGR1;WWTR1;XBP1;RABGAP1L;DTNB;GADD45B;SS18L1;SMARCA5;CIDEA;AMMECR1;NTAN1;SMARCA2;TRERF1;WAPL;GADD45G;TPX2;LACC1;STAG1;ID1;ANP32E;CREBRF;FBXL3;GRB2;ARMC12;ANP32B;CALM2;CC2D1B;TENM4;CITED2;CCDC124;MEOX1;BABAM2;HINT1;ZMYM2;CHAMP1;DHX15;ANKRD1;HTATIP2;ANKRD6;ZHX2;TFE3;CACYBP;SREBF2;MLF2;RHOB;TOX3;UGDH;MN1;RAD51D;NCOA7;MAPRE3;VGLL2;ALDOA;SGK1;HMX2;VGLL4;VGLL3;DOT1L;NEDD9;XIAP;CXCR4;NOL9;PRKX;PCNP;PTPA;NT5C;PURA;EXOSC6;NFIL3;SERTAD2;LMNA;EXOSC8;HSF1;METTL5;APBB2;MSX1;METTL8;GPC6;PURG;GINS1;SVIL;ARNT2;SPRYD4;CAVIN1;ERCC6L2;RYK;NFYC;GINS4;MOK;ERBIN;SORBS2;RANBP6;APTX;PPP1CA;NUDT9;SH3RF2;PER1;RIT2;TFAP4;PRKRA;CCNG2;NEDD4;TTC3;TCEA1;FRA10AC1;CDK5R1;CRTC3;PRAG1;CRTC1;JADE1;PEBP1;PRDM2;PRDM1;UBE2Z;ETS1;ETS2;KLHL31;CCND3;RGS3;CCND1;CWC22;APLP2;TOMM34;ADAM10;ARID5B;KCTD1;RSBN1;TBL1XR1;UBE2V2;PLAA;FIZ1;UBE2V1;PPID;DDX6;CACNA1A;PRPF8;ACACB;CCNB1;UBB;CAMTA1;CAMTA2;MFAP3L;KLHDC2;CBX7;ZFHX3;CBX5;POU2F1;ZFHX2;SMAD3;MLKL;SMURF2;CBX3;HSPA4;PCIF1;ASPSCR1;HMGA2;MSN;SMAD9;SMAD6;AZIN1;SMAD7;NR4A2;DIAPH1;FER;DIAPH3;NR4A3;JMY;NABP2;TCF4;BLMH;FGFR1;PHF19;PICALM;RERE;KDM5B;THRB;CHD7;HSPB7;USP34;DDX42;PSIP1;YBX2;CHD3;HMGB1;CHD2;RERG;LMNB1;IRF2BPL;SENP6;CASP7;UBE2Q2;SIX2;TRPS1;SIX3;NFKBIZ;PDE4A;MYBL1;KDM6B;KLF10;USP47;TGIF2;CAMK1D;PTGIS;GLRX3;EED;PDE4D;PLA2G4A;TRNAU1AP;ETV4;YWHAZ;ETV5;TTI2;ETV6;EEF1G;ELF1;CREB1;LATS2;PTGES3L;MYH9;RBMS1;RBM20;NCBP3;KDM7A;RBMS3;CREB5;USP13;LAMA5;KDM3A;CAMK2D;USP16;NAA20;BRAT1;MVP;LEF1;TAF9;MAT2B;TOB2;TOB1;RNF2;ATAD2B;NXF1;RMND5A;TNKS2;FAM120C;ERBB4;TDG;MXI1;FAM120A;MARVELD3;NRIP1;MAPK1;GBP2;SMNDC1;TRDMT1;ATF7IP;USP24;KDM4B;TCF7L1;NAA10;POLN;WTAP;BNIP3;EYA4;DDX31;ZFC3H1;NAP1L1;MAPK14;S100B;USP28;MAPK15;USF1;WEE1;DES;KANSL1;CDK2AP1;SPRY2;QRICH1;LPIN1;PAXBP1;LPIN2;TAF2;SSBP4;TAF1
Apicolateral Plasma Membrane (GO:0016327)	4/5	0.00183854822729575	0.0612849409098584	0	0	24.0434782608696	151.444556574331	CXADR;MTCL1;NEDD4;MPDZ
Cortical Actin Cytoskeleton (GO:0030864)	14/44	0.0024076466454389	0.0706519985805697	0	0	2.81018062397373	16.9428754678821	SPTBN4;PLEKHH2;WDR1;SLC2A1;SHROOM2;SHROOM3;SHROOM1;SHROOM4;AKAP13;LASP1;CDH2;CAPN2;SPTBN1;LLGL1
P-body (GO:0000932)	22/83	0.00247281995031994	0.0706519985805697	0	0	2.17398799125375	13.0491370385659	DDX6;YTHDF2;YTHDF3;PUM1;AICDA;PNRC1;EDC3;PATL2;TNRC6C;ZFP36;MEX3B;PSMC3;CNOT2;ZC3H12A;POLR2G;TOP1;CNOT8;AJUBA;LSM14A;DCP2;TNRC6A;TNRC6B
